Q,A
야 니가 먼저 벗으라고!,내놓으라고 돈부터 
아 됐어 됐어 갔어갔어 갔어,뭐야 너 주인 아줌마 피해다니냐?
뭐야 너 주인 아줌마 피해다니냐?,어 아직 집세 안냈거든
어 아직 집세 안냈거든,야 너는 집세 낼 돈도 없는 애가 무슨 자전거를 백만원짜리를 사냐 
야 너는 집세 낼 돈도 없는 애가 무슨 자전거를 백만원짜리를 사냐 ,어떻게 알았어? 아 상우씨가 말했구나 
어떻게 알았어? 아 상우씨가 말했구나 ,당장 환불받고 얼른 월세부터 내
당장 환불받고 얼른 월세부터 내,싫어 저번에 타보니까 일반 자전거로는 상우씨 자전거 속도 따라잡기 힘들더라구 그때도 나만 뒤쳐졌잖아 우선 자전거부터 좋고 봐야
싫어 저번에 타보니까 일반 자전거로는 상우씨 자전거 속도 따라잡기 힘들더라구 그때도 나만 뒤쳐졌잖아 우선 자전거부터 좋고 봐야,실력없는 목수가 연장 탓하냐 너는 지금 니가 자전거가 구려서 결혼 못하는줄 알지 니가 암만 수천 수억짜리 자전거를 타봐라. 그러니까 내 말은 제발 좀 분수에 좀 맞게 굴라고 
실력없는 목수가 연장 탓하냐 너는 지금 니가 자전거가 구려서 결혼 못하는줄 알지 니가 암만 수천 수억짜리 자전거를 타봐라. 그러니까 내 말은 제발 좀 분수에 좀 맞게 굴라고 ,뭐? 지금 자전거가 아니라 내가 구려서 결혼을 못한다는 거야? 야 내 분수에 안 맞는 남자랑 만나려는데 어떻게 내가 분수에 맞는 행동을 하냐?
뭐? 지금 자전거가 아니라 내가 구려서 결혼을 못한다는 거야? 야 내 분수에 안 맞는 남자랑 만나려는데 어떻게 내가 분수에 맞는 행동을 하냐?,아 너는 그렇게까지 해서 결혼을 해야겠냐 뭐 된장녀도 아니고?
아 너는 그렇게까지 해서 결혼을 해야겠냐 뭐 된장녀도 아니고?,뭐만 하면 된장녀 김치녀 그런말 만들어서 사람 비난하는게 니들 남자들 취미지? 결혼하면서 조건 안보는 결혼이 몇이나 있는데? 그래 그런게 된장녀라면 나 된장녀 맞아 전에도 말했잖아 이런 내 인생을 바꿀 수 있는건 결혼밖에 없다고 
뭐만 하면 된장녀 김치녀 그런말 만들어서 사람 비난하는게 니들 남자들 취미지? 결혼하면서 조건 안보는 결혼이 몇이나 있는데? 그래 그런게 된장녀라면 나 된장녀 맞아 전에도 말했잖아 이런 내 인생을 바꿀 수 있는건 결혼밖에 없다고 ,니가 암만 그렇게 얘기해봤자 상우형은 너랑 결혼은 커녕 사귀지도 않아 상우형 주말에 소개팅 한댄다 직안 학벌 직업 빵빵한 여자랑 
니가 암만 그렇게 얘기해봤자 상우형은 너랑 결혼은 커녕 사귀지도 않아 상우형 주말에 소개팅 한댄다 직안 학벌 직업 빵빵한 여자랑 ,뭐?
뭐?,결국 스펙 좋은 남잔 스펙 좋은 여자랑 만나게 되있는 법이야 신데렐라 이야기는 동화속에나 있고 드라마에나 나오는 얘기라고 너 신데렐라도 사실 귀족 집안 딸인거 알지? 신데렐라가 서민이었으면은 애초에 무도회에 초청받지도 못했을껄?
결국 스펙 좋은 남잔 스펙 좋은 여자랑 만나게 되있는 법이야 신데렐라 이야기는 동화속에나 있고 드라마에나 나오는 얘기라고 너 신데렐라도 사실 귀족 집안 딸인거 알지? 신데렐라가 서민이었으면은 애초에 무도회에 초청받지도 못했을껄?,누가 몰라? 너도 그거 모르고 나 도와준거 아니잖아 두고봐 그럼에도 불구하고 난 해낼거니까
에이 말도안되요. 어떻게 저렇게 이쁜여자가 정과장님을...아니 정 정과장님이 별로라는 얘기는 아니고.,혹시 정과장이 돈많아보여서 그런거 아니야? 요새 어울리진 않지만 명품옷 휘감고 다니고 못된 졸부처럼 생겼잖아.
혹시 정과장이 돈많아보여서 그런거 아니야? 요새 어울리진 않지만 명품옷 휘감고 다니고 못된 졸부처럼 생겼잖아.,뭐라고요?
뭐라고요?,아니야 정과장 지하방에 사는것도 다 아는데 무슨.
아니야 정과장 지하방에 사는것도 다 아는데 무슨.,아유 그럼 진짜한번 잘해보세요. 진짜 이쁘고 괜찮던데.
아유 그럼 진짜한번 잘해보세요. 진짜 이쁘고 괜찮던데.,하하. 그러게요. 남남북녀라는 말이 맞네요.
하하. 그러게요. 남남북녀라는 말이 맞네요.,남남북녀?
남남북녀?,네. 아 남쪽은 남자들은 잘생겼는데 여자들은 좀.
네. 아 남쪽은 남자들은 잘생겼는데 여자들은 좀.,스잘. 센스쟁이.
스잘. 센스쟁이.,재치쟁이
재치쟁이,매력쟁이.
매력쟁이.,이 인간들이 진짜! 스잘 아주 그냥 오냐오냐 하니까 뵈는게 없구나?
이 인간들이 진짜! 스잘 아주 그냥 오냐오냐 하니까 뵈는게 없구나?,너 임산부한테 한번 맞아볼래?
너 임산부한테 한번 맞아볼래?,영자씨 워워.
영자씨 워워.,잘못했어요.
잘못했어요.,암튼 진짜 한번 잘해봐라. 평생 청승맞게 혼자살것도 아니고.
암튼 진짜 한번 잘해봐라. 평생 청승맞게 혼자살것도 아니고.,아 됐어요. 전 욜로할꺼라니까요. 혼자가 편해.
아 됐어요. 전 욜로할꺼라니까요. 혼자가 편해.,자신없어서 그러는건 아니고? 그러지말고 다리 놔줄테니까 한번 대쉬해봐.
자신없어서 그러는건 아니고? 그러지말고 다리 놔줄테니까 한번 대쉬해봐.,그래. 물론 잘된다는 보장은 없지만 혹시 모르잖아.
그래. 물론 잘된다는 보장은 없지만 혹시 모르잖아.,아 됐데니까요. 아이 식사나 하세요.
야 너 어차피 살쪄서 못 입는다고!,나중에 입을거라고  
나중에 입을거라고  ,너 애낳면 살 더 쪄 내가 장담하는데 
"뭐야, 이거?",레스토랑 식사권이요. 편집장님이 연말 선물이라고 주셨습니다.
레스토랑 식사권이요. 편집장님이 연말 선물이라고 주셨습니다.,아니 이런 걸 줄거면 같이갈 애인이라도 만들어주든가.
아니 이런 걸 줄거면 같이갈 애인이라도 만들어주든가.,"작가님, 그럼 저랑 같이 가..."
"작가님, 그럼 저랑 같이 가...",수발이 너 며칠에 갈거야?
수발이 너 며칠에 갈거야?,네? 저 혼자 갑니까?
네? 저 혼자 갑니까?,"당연하지. 야 참, 일할 때 붙어있는것도 지겨워죽겠는데 이런 덴 좀 제발 따로 다니자, 응?"
"당연하지. 야 참, 일할 때 붙어있는것도 지겨워죽겠는데 이런 덴 좀 제발 따로 다니자, 응?",그럼 저는 안 가겠습니다.
그럼 저는 안 가겠습니다.,그래? 아 그럼 난 누구랑 가지?
꼭 이런 데서 작업을 해야돼요?,아 그럼 어쪄? 회사에선 심장 떨려서 못하겄담서. 
아 그럼 어쪄? 회사에선 심장 떨려서 못하겄담서. ,어디 조용한 카페라도 갈 줄 알았죠.
어디 조용한 카페라도 갈 줄 알았죠.,배도 안 부르고 오줌만 매려운 커피보다 국밥이 훨 낫지 뭔 소리여.
자 됐습니까?,죄송하게 됐네요. 아니 근데 저는 그쪽이 옷차림도 좀 그렇고 자물쇠를 막 억지로... 망가진 채소 값은 제가 변상해 드릴게요. 카드로...
죄송하게 됐네요. 아니 근데 저는 그쪽이 옷차림도 좀 그렇고 자물쇠를 막 억지로... 망가진 채소 값은 제가 변상해 드릴게요. 카드로...,됐습니다. 뭐 진짜 도둑이었다면 제가 감사해야 될 일이었으니까.
"아이, 배고파죽겠는데 빨리 들어가자고.",아니에요. 여기 아니에요. 딴데가요.
아니에요. 여기 아니에요. 딴데가요.,"아, 가긴 어딜가요. 피같은 내 택시비 들여서 여기까지 왔구만."
"아, 가긴 어딜가요. 피같은 내 택시비 들여서 여기까지 왔구만.",내가 딴데 가서 사줄게. 가자.
내가 딴데 가서 사줄게. 가자.,쏘기 싫어서 수작부리는거 모를줄 알고. 스잘. 잡아.
신발 뭐냐?,"왜, 뭐. 왜, 뭐, 보면 모르냐? 에어조던이다, 왜."
"왜, 뭐. 왜, 뭐, 보면 모르냐? 에어조던이다, 왜.","그거 선도부한테 바로 잡힐걸~ @는 무조건 잡는 거 모르냐, 이 빙신아?"
"그거 선도부한테 바로 잡힐걸~ @는 무조건 잡는 거 모르냐, 이 빙신아?","저번주부터 선우가 선도부거든, 빙신아?"
"저번주부터 선우가 선도부거든, 빙신아?","좋겠다? 니 친구 선도부라서, 이 빙신아."
"좋겠다? 니 친구 선도부라서, 이 빙신아.","너도 좋겠다? 오늘 도시락 안 싸가도 되고. 거, 거, 턱에 붙은 거 먹으면 되겠네, 빙신아. 어휴, 간다."
다들 양심 없이 회사 앞에서 담배필거야?,오셨어요?
오셨어요?,임산부도 있는데 너무들 하는거 아니야? 담배 피우지마 담배 피우고 싶음 회사 반경 100미터 밖에 나가서 펴
임산부도 있는데 너무들 하는거 아니야? 담배 피우지마 담배 피우고 싶음 회사 반경 100미터 밖에 나가서 펴,아 유난 떨지 마세요 괜찮아요 피우세요 들 어 영채야 엄마는 좀 괜찮으셔?
아 유난 떨지 마세요 괜찮아요 피우세요 들 어 영채야 엄마는 좀 괜찮으셔?,안돼 피우지마 나도 소름끼치게 피우고 싶단 말이야
정환아.,응.
응.,가자 콘서트. 응?
"아, 고깃집을 뭐 이렇게 멀리까지 와요. 토요일이라 차도 엄청 막히는구만.",내가 돼지고기 무제한으로 먹게 해준다니까.
못됐다 참말로.,내가 뭐.
내가 뭐.,우리끼린 이러지 말자 진짜. 응?
우리끼린 이러지 말자 진짜. 응?,수연아 빨거 있음 내놔라. 이 집 세탁기 돌릴 때 같이 돌그러. 노을이 니도.
수연아 빨거 있음 내놔라. 이 집 세탁기 돌릴 때 같이 돌그러. 노을이 니도.,나 없어.
나 없어.,나도 없어. 나 아까 목욕하면서 내가 그냥 빨았어.
그림 참 쓸쓸해 보이네 제목이 이미 추억이네 요 작가 나윤찬 유명하신분인가?,하나씨 나윤찬 작가도 모릅니까 요즘 미술계에서 주목받는 작가인데
하나씨 나윤찬 작가도 모릅니까 요즘 미술계에서 주목받는 작가인데,아 제가 이렌데는 문외한이라
아 제가 이렌데는 문외한이라,우리 헤어집시다
우리 헤어집시다,네?
네?,정말 퀄리티 떨어져서 못 만나겠네요 이제 끝냅시다 
정말 퀄리티 떨어져서 못 만나겠네요 이제 끝냅시다 ,아니 그게 무슨
아니 그게 무슨,원래부터 퀄리티 떨어지는거는 알고 있었지만 이 정도 일줄은 몰랐습니다 우리 둘 차이 극복할수 없을 듯 합니다 그러니까 괜한 시간낭비 그만하자구요
원래부터 퀄리티 떨어지는거는 알고 있었지만 이 정도 일줄은 몰랐습니다 우리 둘 차이 극복할수 없을 듯 합니다 그러니까 괜한 시간낭비 그만하자구요,진교수님
동생아.,응.
응.,올해가 아직 다 안갔지. 어?
올해가 아직 다 안갔지. 어?,뭔 소리야?
뭔 소리야?,그런게 있어.
아니 이게 말이나되요? 청첩장까지 다 돌려놨는데 웨딩홀예약이 안되있다니요?,죄송합니다.
죄송합니다.,죄송하다고 될 문제에요? 남의 인륜지대사를 망쳐놓고. 책임져요 책임져.
죄송하다고 될 문제에요? 남의 인륜지대사를 망쳐놓고. 책임져요 책임져.,그래서 말인데요.
앞으로도 종종 밥은 같이 먹을 수 있죠? 남자 여자로는 안되더라도 좋은 직장 동료로써 ,동료요?
동료요?,우리 동료 맞잖아요 비지니스 파트너 혹시 그것도 싫어요? 또 회사 떄려치울거에요? 이번엔 다시 돌아와달라고 붙잡지 않을건데?
우리 동료 맞잖아요 비지니스 파트너 혹시 그것도 싫어요? 또 회사 떄려치울거에요? 이번엔 다시 돌아와달라고 붙잡지 않을건데?,안 그만둬요
안 그만둬요,음식 식겠어요 얼른 먹어요
나야 택이,어 네가 이 시간에 웬일이야? 무슨 일 있어?
어 네가 이 시간에 웬일이야? 무슨 일 있어?,아니 무슨 일 없어
아니 무슨 일 없어,얼른 들어가. 빨리 들어가서 자. 열두시 다 됐어
얼른 들어가. 빨리 들어가서 자. 열두시 다 됐어,어 알았어. 덕선아.
어 알았어. 덕선아.,응 왜?
응 왜?,"우리, 영화 볼까? 영화 보자 우리"
이건 또 누구 전화야?,사장실 쪽에서 들리는 것 같은데.
사장실 쪽에서 들리는 것 같은데.,사장실이요? 안녕하세요 현수씨. 저 사장님이 핸드폰을 두고 나가서요. 무슨 일이세요?
사장실이요? 안녕하세요 현수씨. 저 사장님이 핸드폰을 두고 나가서요. 무슨 일이세요?,아 저 승준이 잘 지내나 걱정돼서 전화했어요 제수씨.
아 저 승준이 잘 지내나 걱정돼서 전화했어요 제수씨.,아 예 덕분에 잘 있어요. 우울해 하지 않게 매일 불러내주시고 감사해요.
아 예 덕분에 잘 있어요. 우울해 하지 않게 매일 불러내주시고 감사해요.,그게 무슨 말씀이세요? 저 장례식 이후로 승준이 본 적 없는데.
그게 무슨 말씀이세요? 저 장례식 이후로 승준이 본 적 없는데., 네? 같이 운동 다니신거 아니세요? 네. 연락 왔다고 전해 드릴게요.
근데 당신 여권은 잘 챙겼지?,아 맞다 여권. 여 있지롱. 당신 사진 한 번 볼까.
아 맞다 여권. 여 있지롱. 당신 사진 한 번 볼까.,뭘 봐 미스코리아지.
뭘 봐 미스코리아지.,이거 뭐고. 이거 당신이 적었나?
이거 뭐고. 이거 당신이 적었나?,뭘?
뭘?,이거 이거. 이 당신이 써놨나?
앞으로 이러지마요 ,상우씨 물건 함부로 만져서 불쾌했어요?
상우씨 물건 함부로 만져서 불쾌했어요?,그게 아니라 힘든 청소는 내가 할테니까 옆에만 있어요 평생
그게 아니라 힘든 청소는 내가 할테니까 옆에만 있어요 평생,예?
예?,나랑 결혼해줄래요? 
나랑 결혼해줄래요? ,아아아아아아아아
아 어디까지 갈거에요 여기선 떠들어도 되니깐 여기서 얘기해요 ,무슨 말을 더해요 내말은 이걸로 다했는데 누나 맘은 뭐에요? 김변호사님이에요? 
무슨 말을 더해요 내말은 이걸로 다했는데 누나 맘은 뭐에요? 김변호사님이에요? ,아니에요 진짜 김변호사님하고 아무 사이 아니에요 
정팔아. 뭐해 여기서?,이제 오냐?
이제 오냐?,응. 아저씨 괜찮으셔?
응. 아저씨 괜찮으셔?,응. 수술 잘 끝났어.
응. 수술 잘 끝났어.,다행이네.
다행이네.,못 잤어?
못 잤어?,어. 오늘 좀 자면 돼.
사장님. 여기 사장님이 엄청 하고싶어 했던데잖아요.,그러게. 영자씨가 비싸다고 절대 안된다고해서 눈물을 머금고 포기했었는데.
그러게. 영자씨가 비싸다고 절대 안된다고해서 눈물을 머금고 포기했었는데.,근데 여길 공짜로 업그레이드 받다니.
근데 여길 공짜로 업그레이드 받다니.,우와.
우와.,하하
하하,꿈만같다. 영자씨.
언능 와.,아이 간데이.
아이 간데이.,형들 설 지나고 봐요.
형들 설 지나고 봐요.,어.
어.,잘있어.
잘있어.,아이 빨리와 가시내야.
아이 빨리와 가시내야.,안녕하세요.
안녕하세요.,아이고 시골 내려갑니까.
아이고 시골 내려갑니까.,어.
어.,버스 많이 막힐낀데.
버스 많이 막힐낀데.,기차 표 끊었다. 골목 잘 지키고 있어라이.
기차 표 끊었다. 골목 잘 지키고 있어라이.,잘 댕겨오시소.
잘 댕겨오시소.,오빠. 정봉오빠. 잠깐만. 아. 오빠 이거. 깜빡했어. 내 친구 만옥이가 전해달래. 만옥이 알지? 둘이 삼거리에서 봤대매. 진짜 별일이 다 있어. 오빠 올해 운수 대통인줄 알아. 김정봉한테 연애편지가 왠말이야. 나 진짜 간다.
아 언제들 나오는거지,"그러게 아까 오픈할때 스무명정도 들어갔는데, 아직까지 한사람이 안나왔데니까"
"그러게 아까 오픈할때 스무명정도 들어갔는데, 아직까지 한사람이 안나왔데니까",왜그러세요 윤차장님
왜그러세요 윤차장님,나 이러다 쌀 거 같아
나 이러다 쌀 거 같아,"네? 이제 다 와가는데 무슨소리에요, 조금만 조금만 참아봐요 네?"
"네? 이제 다 와가는데 무슨소리에요, 조금만 조금만 참아봐요 네?",그래요 인간의 의지로 안되는건 없다규요. 괄약근에 힘을 빡 주시라규요
그래요 인간의 의지로 안되는건 없다규요. 괄약근에 힘을 빡 주시라규요,"아님, 터미네이터 자세를 취하시고 발 뒷꿈치로 꾹 막고계시는건 어때요"
좀 짧은가?,아이 괜찮아요
여기 저희 방인데,아 저흰 볼 일 끝났으니까 쓰세요.
아 저흰 볼 일 끝났으니까 쓰세요.,그냥 가면 어떡해. 라부장 책임져 
주문 안 하세요?, 아 일행이 아직 안 와서요.
 아 일행이 아직 안 와서요.,죄송하지만 밖에 저렇게 기다리는 사람들이 많아서요.
죄송하지만 밖에 저렇게 기다리는 사람들이 많아서요.,그러면 주문부터 할게요. 곱창 2인분 주세요.
그러면 주문부터 할게요. 곱창 2인분 주세요.,네~
수지씨,왔어요? 제가 청소 좀 했어요
이게 다 뭐예요?,선물에 대한 답례로 내가 쏘는거야.
선물에 대한 답례로 내가 쏘는거야.,병원비 보태쓰라고 준 돈을 밥 쏘는데 쓰면 어떡해?
병원비 보태쓰라고 준 돈을 밥 쏘는데 쓰면 어떡해?,이 돈은 일 원도 안 건드렸어요. 내가 이걸 어떻게 건드려.
이 돈은 일 원도 안 건드렸어요. 내가 이걸 어떻게 건드려.,아이 그럼 이거는 뭘로 사시는 건데요?
아이 그럼 이거는 뭘로 사시는 건데요?,내 가방 팔았어.
내 가방 팔았어.,가방요?
가방요?,아니 동지섣달 꽃 본 듯이 그 아끼던 명품백을 파셨다고요?
아니 동지섣달 꽃 본 듯이 그 아끼던 명품백을 파셨다고요?,내 몸이 아픈데 명품백이 뭔 소용이야. 가방 판 돈으로 수술도 받을거고 밥도 쏘는 거니까 맘껏들 드셔. 이 봉투는 수술 끝나고 다시 돌려줄게.
내 몸이 아픈데 명품백이 뭔 소용이야. 가방 판 돈으로 수술도 받을거고 밥도 쏘는 거니까 맘껏들 드셔. 이 봉투는 수술 끝나고 다시 돌려줄게.,아니 아니 돌려줄거면 지금 돌려주시면 되쥬. 왜요?
아니 아니 돌려줄거면 지금 돌려주시면 되쥬. 왜요?,그냥. 이게 웬지 내 부적같아서. 가족보다 더 가족같은 우리 회사 사람들이 내생각 해서 모아준 돈인데 그 정성이면 내 수술도 무사히 잘 되지 않겠어? 뭐해. 불어. 불기 전에 먹어.
그냥. 이게 웬지 내 부적같아서. 가족보다 더 가족같은 우리 회사 사람들이 내생각 해서 모아준 돈인데 그 정성이면 내 수술도 무사히 잘 되지 않겠어? 뭐해. 불어. 불기 전에 먹어.,다른 사장님도 드시고 가시지.
다른 사장님도 드시고 가시지.,어. 아 근데 탕수육이 양이 왜이렇게 많아요?
어. 아 근데 탕수육이 양이 왜이렇게 많아요?,양이 적은게 문제지 많은게 문제야?
양이 적은게 문제지 많은게 문제야?,문제지. 원래 라부장 캐릭터대로라면 쿠폰모아서 주는 공짜 탕수육 조그만거 시켜서
문제지. 원래 라부장 캐릭터대로라면 쿠폰모아서 주는 공짜 탕수육 조그만거 시켜서,"그 중에 반은 지우, 현우 줄려고 꿍쳐놓고"
"그 중에 반은 지우, 현우 줄려고 꿍쳐놓고",밑에 천사채나 뻥튀기로 눈속임 하려고 했을텐데 수상하다규. 이거 탕수육이 아니라 음식 모형같은거 아니에요?
밑에 천사채나 뻥튀기로 눈속임 하려고 했을텐데 수상하다규. 이거 탕수육이 아니라 음식 모형같은거 아니에요?,쏘는 거 취소하기 전에 그런 의심따위는 넣어 둬. 넣어 둬.
쏘는 거 취소하기 전에 그런 의심따위는 넣어 둬. 넣어 둬.,진짜예요.
진짜예요.,잘 먹을게요.
"야, 먹고 살라고 그렇게까지 해야되냐? 야 성인 웹툰이 웬 말이냐? 규한이 형 말야.","아휴, 학교 이름에 먹칠을 해도 유분수지. 야, 나같음 학교 동기들 모이는 이런 데 절대 안 나오겠다."
"아휴, 학교 이름에 먹칠을 해도 유분수지. 야, 나같음 학교 동기들 모이는 이런 데 절대 안 나오겠다.","야, 내말이. 학교 다닐때 그림 좀 그린다고 예쁨받으면 뭐하냐? 지금 저 모양 저 꼴인데. "
"야, 내말이. 학교 다닐때 그림 좀 그린다고 예쁨받으면 뭐하냐? 지금 저 모양 저 꼴인데. ","야 내말이, 우린 절대 저렇게 되지 말자."
"야 내말이, 우린 절대 저렇게 되지 말자.","야, 당연하지."
아 근데 김대린 뭘 그렇게 봐? 어 그거 백만장자의 사정이네 그거봐?,예 무료로 3회까지 보고 나니까 끊을수가 없어가지고 결제하고 보는중이라규요
예 무료로 3회까지 보고 나니까 끊을수가 없어가지고 결제하고 보는중이라규요,아 나도 보는중인데 나는 36화 보다 울음 터지는 바람에 잠깐 쉬는 중이야 몇회 봐?
아 나도 보는중인데 나는 36화 보다 울음 터지는 바람에 잠깐 쉬는 중이야 몇회 봐?,34화요 
34화요 ,아유 여기 대박씬 있는데 스크롤 좀 내려봐 
아유 여기 대박씬 있는데 스크롤 좀 내려봐 ,어디 어디 어디요
어디 어디 어디요,어 이건가? 우와 우와 
어 이건가? 우와 우와 ,여 왜 이래?
여 왜 이래?,에이 전기 나갔나?
에이 전기 나갔나?,아닌데? 세분 정신줄 나갔는데? 회사 전기세 아깝게 뭣들 하시는거예요
아이고 이사장 미안해서 어떡하지 나 못하겠다 단체손님이 왔대,다음이 사장님 차례인데
