Q,A
"거기가 어디라고 가세요, 오늘 사람 박터지게 모일텐데. 제가 혼자 후딱 가서 구해오겠습니다","그래그래 그럼 내가 돈 줄테니까 꼭 좀 부탁하네, 자네만 믿네!"
"그래그래 그럼 내가 돈 줄테니까 꼭 좀 부탁하네, 자네만 믿네!",예? 방금 뭐라고
예? 방금 뭐라고,자네만 믿는다고
자네만 믿는다고,"걱정마십쇼 장모님, 제가 무슨 수를 써서라도 터닝데카드 꼭 구해오겠습니다! 기다려라 나영아"
"걱정마십쇼 장모님, 제가 무슨 수를 써서라도 터닝데카드 꼭 구해오겠습니다! 기다려라 나영아","아이고 나영아, 고모부가 그거 사온대. 터닝데카드래"
야 나진실 밥먹어라,배 안고프다
배 안고프다,먹으라고 김치찌개 끓였다
좋아. 피차 좋은 기억도 아니고 서로 끔찍한 악몽 꿨다 생각하고 쿨하게 잊자. 콜?,그래. 콜. 콜.
어디가세요?,다음에 다시 들리신데요.
다음에 다시 들리신데요.,갈게요.
갈게요.,잠깐만요. 근데 고향이 정확히 전라도 어디세요?
잠깐만요. 근데 고향이 정확히 전라도 어디세요?,여순디요?
여순디요?,여수여? 아따 이게 뭔일이라요. 아 여수사람을 여서 만나불고 참말로 반가워라잉.
여수여? 아따 이게 뭔일이라요. 아 여수사람을 여서 만나불고 참말로 반가워라잉.,아 여수분이다요?
아 여수분이다요?,아니요. 대전사람이에요. 갑자기 왠 전라도사투리야.
아니요. 대전사람이에요. 갑자기 왠 전라도사투리야.,아따 나에 대해서 모르면 말을 마쇼. 나가 태어나기만 대전서 태어나고 내내 여수서 살았어라. 그니까 내 진정한 고향은 여수여라.
아따 나에 대해서 모르면 말을 마쇼. 나가 태어나기만 대전서 태어나고 내내 여수서 살았어라. 그니까 내 진정한 고향은 여수여라.,먼 소리야 임마 너 20살까지 내내 대전에
먼 소리야 임마 너 20살까지 내내 대전에,암튼 지가 고향처럼 생각하는 여수분을 여기서 만나불고 참말로 반갑소. 아 이것도 인연인디요 요거 쪼까 받으셔. 지가 다음달에 결혼을 해부려라. 꼭 초대하고 싶구만이라.
암튼 지가 고향처럼 생각하는 여수분을 여기서 만나불고 참말로 반갑소. 아 이것도 인연인디요 요거 쪼까 받으셔. 지가 다음달에 결혼을 해부려라. 꼭 초대하고 싶구만이라.,넣어도 넣어도. 이게 초면에 무슨 실례야. 가세요 사장님
이거 한강이야?,응.
안 되겠다. 이 속도로는 밤새워도 배를 못 채워. 우리 고깃집으로 2차 가자.,2차요?
2차요?,"아, 미안하게. 2차는 한 사장 부르자."
"아, 미안하게. 2차는 한 사장 부르자.","아니에요, 아니에요. 2차도 제가 쏠게요."
"아니에요, 아니에요. 2차도 제가 쏠게요.",그래도 돼? 그러면은 자리 옮겨서 일 얘기 마저 하자고. 응? 그러게 내가 애초부터 고기 먹으러 가자 했잖아. 으휴.
그래도 돼? 그러면은 자리 옮겨서 일 얘기 마저 하자고. 응? 그러게 내가 애초부터 고기 먹으러 가자 했잖아. 으휴.,가자.
가자.,알았어.
아 그나저나 예빈씬 얼굴이 더 좋아지신 거 같아요. 연예인이랑 결혼해서 그런지는 몰라도 아휴 그냥 예빈씨가 연예인 포스가 흐르는 거 같네 그냥.,에휴 겉만 이렇지 속은 다 썩어 문드러졌어요.
에휴 겉만 이렇지 속은 다 썩어 문드러졌어요.,에이 썩어 문드러지다니요?
에이 썩어 문드러지다니요?,찌라시 못 보셨어요? 제 남편 도박에 빠져있다는 거 그거 사실이에요. 남편 지금 마카오 카지노에 잡혀있어요.
찌라시 못 보셨어요? 제 남편 도박에 빠져있다는 거 그거 사실이에요. 남편 지금 마카오 카지노에 잡혀있어요.,에에?
에에?,그래서 말인데 저 돈 좀 꿔주실 수 있어요? 남편 데리고 오려면 돈이 좀 필요한데.
그래서 말인데 저 돈 좀 꿔주실 수 있어요? 남편 데리고 오려면 돈이 좀 필요한데.,아 근데 제가 돈이...
아 근데 제가 돈이...,꿔주기 싫음 이거라도 사세요. 제가 반값에 팔게요. 신부한테 예물로 명품백 하나는 해줘야죠.
꿔주기 싫음 이거라도 사세요. 제가 반값에 팔게요. 신부한테 예물로 명품백 하나는 해줘야죠.,아 근데 제가 돈이 없어서... 방 보증금 구할 돈도 없어서 이 축의금으로 메꿀려고 하고 있거든요.
아 근데 제가 돈이 없어서... 방 보증금 구할 돈도 없어서 이 축의금으로 메꿀려고 하고 있거든요.,아... 뭐야. 아 결혼한대서 돈 좀 모았나 했더니 여전히 지지리 궁상 개털이세요? 괜히 나왔네 괜히 나왔어. 저 갈게요.
처음엔 그런 말씀 안하셨잖아요.,그 보증금도 안 맡겨놓고 시작하게 해준거 아냐 모르냐?
그 보증금도 안 맡겨놓고 시작하게 해준거 아냐 모르냐?,반만이라도 주세요. 일은 계속 해요.
반만이라도 주세요. 일은 계속 해요.,야 임마 첫 달부터 월급 주는데가 어딨어?
야 임마 첫 달부터 월급 주는데가 어딨어?,첫 달 월급 못 받는 거 알았으면 일 안했어요.
첫 달 월급 못 받는 거 알았으면 일 안했어요.,아휴. 두 말 하기 싫다. 니가 일을 계속 하든말든 상관 없어. 그 뭐냐 일할 데 없는 중학생 받아준 게 고마운 일인 줄 알면 그만하고 들어가봐.
아휴. 두 말 하기 싫다. 니가 일을 계속 하든말든 상관 없어. 그 뭐냐 일할 데 없는 중학생 받아준 게 고마운 일인 줄 알면 그만하고 들어가봐.,승호 형은 저랑 같이 시작했는데 이번 달 월급 나왔잖아요.
승호 형은 저랑 같이 시작했는데 이번 달 월급 나왔잖아요.,아나 이거 참. 걘 보증금 맡겨놓고 시작했잖냐. 그러게 임마. 너 피자집 전단 같이 돌리는거 내가 눈감아준거 몰랐냐? 자식이 이거 그거때문에 매일 십분 이십분씩 늦어놓고 한달 내내. 어? 일한 지 일주일도 안 돼가지고 살살 요령이나 피우고 말야. 안 그렇게 생겨가지고 왜그래?
"병재, 안먹고 뭐혀?",실은 제가 글루텐 민감증이 있어서 밀가루 음식은 먹으면 안되거든요.
실은 제가 글루텐 민감증이 있어서 밀가루 음식은 먹으면 안되거든요.,예? 뭐 글루텐 민감증이요? 그건 또 뭐에요?
예? 뭐 글루텐 민감증이요? 그건 또 뭐에요?,그게 글루텐 성분이 들어간 밀가루 음식을 먹으면 설사나 복통을 유발하는 건데요. 그래서 저 칼국수나 만두는 좀.
그게 글루텐 성분이 들어간 밀가루 음식을 먹으면 설사나 복통을 유발하는 건데요. 그래서 저 칼국수나 만두는 좀.,"어매, 진작에 말을 허제, 그럼 밥집을 갔을 것인디. 어뜩혀? 나가 돈 줄랑께 혼자 가서 밥 먹고와, 응?"
"어매, 진작에 말을 허제, 그럼 밥집을 갔을 것인디. 어뜩혀? 나가 돈 줄랑께 혼자 가서 밥 먹고와, 응?","아닙니다, 굶겠습니다."
"아닙니다, 굶겠습니다.","아 뭐, 굶긴 뭘 굶어. 그냥 국에다 밥말아 먹어, 거기다가."
"아 뭐, 굶긴 뭘 굶어. 그냥 국에다 밥말아 먹어, 거기다가.",괜찮습니다.
괜찮습니다.,"괜찮긴. 몸도 허약한데 먹고 힘내야지. 야야, 먹어. 으이구 무슨. 젊은놈이 이렇게 아픈데가 많아서 어떡하냐. 이래가지고 일 제대로 하겠어? 으이구 정말."
"괜찮긴. 몸도 허약한데 먹고 힘내야지. 야야, 먹어. 으이구 무슨. 젊은놈이 이렇게 아픈데가 많아서 어떡하냐. 이래가지고 일 제대로 하겠어? 으이구 정말.","그러는 너는, 몸도 성한데 왜 일을 제대로 못혀? 대체 일은 언제 따올거여? 잉?"
"그러는 너는, 몸도 성한데 왜 일을 제대로 못혀? 대체 일은 언제 따올거여? 잉?",곧 따오겠습니다.
곧 따오겠습니다.,왜그려. 어디 아퍼?
왜그려. 어디 아퍼?,"배, 배, 배, 배가. 그,그, 글루텐 민감증 때문에. 아."
"배, 배, 배, 배가. 그,그, 글루텐 민감증 때문에. 아.","아니, 밀가루도 안먹었는데 왜그래요?"
"아니, 밀가루도 안먹었는데 왜그래요?","아니, 아까, 국물 떠먹을 때 면발 한 가닥 들어."
"아니, 아까, 국물 떠먹을 때 면발 한 가닥 들어.",면발 한 가닥 먹었다고 저러는 거 보면 엄청 심한가봐요.
면발 한 가닥 먹었다고 저러는 거 보면 엄청 심한가봐요.,아 그러게 싫다는 거를 억지로 멕여. 저러다 탈이라도 나서 회사 못 나오면 니가 책임질거여?
아 그러게 싫다는 거를 억지로 멕여. 저러다 탈이라도 나서 회사 못 나오면 니가 책임질거여?,죄송합니다.
죄송합니다.,아 뭣하고 자빠졌어? 괜찮은가 얼른 따라가보지 않고.
왜 너 뭐 할말있어?,아니요
준영이 것도 쌌으니까 준영이랑 같이 먹어~,먹기 싫다고.. 질린다고.. 못 먹겠다고 쫌!…
근데 한규네 엄마가 그렇게 무섭냐,어.. 캡 저번에 한규네 집에서 게임하는데 갑자기 들어 오시더니 마우스 선 짤라버리셨다니까
영애씨 진짜 웃기는 사람이다? 갑자기 방학 얘긴 왜 꺼내? 일부러 그랬지? 나 희망퇴직하게 만들려고 일부러 애들 얘기 꺼냈지?,예?
예?,라과장 왜 그래? 억지 좀 그만 부려.
라과장 왜 그래? 억지 좀 그만 부려.,아이 그러게요. 자기야 말로 영애씨한테 희망퇴직하고 장사나 하라 마라 막 등 떠밀더만. 
아이 그러게요. 자기야 말로 영애씨한테 희망퇴직하고 장사나 하라 마라 막 등 떠밀더만. ,등 떠밀다니? 그건 진심이었어. 영애씬 진짜 장사하면 대박 칠 타입이라고.
뭐여? 시방 여기서 일하는 아줌마로 오해 받은겨?,아 저 덩치가 저래가지고 종종 오해를 좀 받습니다 예.
아 저 덩치가 저래가지고 종종 오해를 좀 받습니다 예.,에이... 오해 받으면 억울할텐디. 그냥 이참에 희망퇴직하고 이런 가게나 하나 차리면 어뗘?
에이... 오해 받으면 억울할텐디. 그냥 이참에 희망퇴직하고 이런 가게나 하나 차리면 어뗘?,예?
할 얘기가 뭔데?,"현영아, 우리 어제 있었던 일 있잖아. 그냥 없었던 일로 하자."
"현영아, 우리 어제 있었던 일 있잖아. 그냥 없었던 일로 하자.",뭐?
뭐?,"알잖아. 나 연봉 5000 될 때까지는 여자 사귈 맘 없는 거. 아, 어제 일 보아하니까 너는 그동안 날 좋아하고 있었던 것 같은데."
"알잖아. 나 연봉 5000 될 때까지는 여자 사귈 맘 없는 거. 아, 어제 일 보아하니까 너는 그동안 날 좋아하고 있었던 것 같은데.",뭐? 오빨 좋아해? 누가 좋아한다 그래? 오빠 내 취향 아니거든?
뭐? 오빨 좋아해? 누가 좋아한다 그래? 오빠 내 취향 아니거든?,뭐?
뭐?,"실수였다고, 실수. 나야말로 없던 일로 하자고 할 참이었어."
"실수였다고, 실수. 나야말로 없던 일로 하자고 할 참이었어.","아, 그래? 아, 잘 됐네. 아, 그냥 교통사고난 것처럼 어쩌다 입술끼리 부딪힌 거라 치고 아주 깨끗하게 잊자고."
"아, 그래? 아, 잘 됐네. 아, 그냥 교통사고난 것처럼 어쩌다 입술끼리 부딪힌 거라 치고 아주 깨끗하게 잊자고.","그래, 나도 술김에 노가리 하나 씹었다고 생각할게."
"그래, 나도 술김에 노가리 하나 씹었다고 생각할게.","뭐, 노가리?"
"뭐, 노가리?","그래, 노가리. 뻣뻣하니 키스도 드럽게 못하더만."
"그래, 노가리. 뻣뻣하니 키스도 드럽게 못하더만.","야, 니가 어제 좀 취해 가지고 이게 분별력이 좀 떨어졌나 본데, 나 키스 대따 잘하거든? 야, 됐다. 나야말로 맛간 똥집 씹었다고 생각할게."
"야, 니가 어제 좀 취해 가지고 이게 분별력이 좀 떨어졌나 본데, 나 키스 대따 잘하거든? 야, 됐다. 나야말로 맛간 똥집 씹었다고 생각할게.","뭐? 맛간 똥집? 말 다 했어, 지금?"
"뭐? 맛간 똥집? 말 다 했어, 지금?","그래, 말 다 했다. 왜!"
병화는 그거 눈병이니?,네. 알레르기.
"한시부터 판매한다고 했는데 벌써부터 이렇게 줄이 기네, 선착순 100명안에 꼭 들어야될텐데. 저기요 혹시 몇번 째로 줄 서신건지 아세요?","글쎄요, 저도 잘 모르겠는데요, 아 오늘은 꼭 사야되는데"
"글쎄요, 저도 잘 모르겠는데요, 아 오늘은 꼭 사야되는데",나도 꼭 사가야되는데
아 이새끼들 무슨 가축들도 아니고 저거.,아 배고프다. 밥 먹으러 가자.
아 배고프다. 밥 먹으러 가자.,"이 새끼도 똑같은 놈이네. 야, 갔다가 애새끼들 만나면 어떡하려고. 10분만 더 있다 가자. 아 생각해보니까 좆같다. 나도 복싱이나 배워볼까?"
"이 새끼도 똑같은 놈이네. 야, 갔다가 애새끼들 만나면 어떡하려고. 10분만 더 있다 가자. 아 생각해보니까 좆같다. 나도 복싱이나 배워볼까?","이제 방학인데 뭐, 2학기때는 대학 간다고 안건들이겠지. 아 걍 가자.배고파서 머리아파."
"이제 방학인데 뭐, 2학기때는 대학 간다고 안건들이겠지. 아 걍 가자.배고파서 머리아파.",꼭 저새끼는 안먹으면 머리 아프대. 야.
죄송해요. 오늘 결례가 많았어요.,아이고 됐당께요.
아이고 됐당께요.,실은 회사에 말못할 사정이생겨서 분위기가 좀 뒤숭숭해요. 저 그래서 말인데 차라리 다른곳에 일을 맡기시는게 어떠신지.
실은 회사에 말못할 사정이생겨서 분위기가 좀 뒤숭숭해요. 저 그래서 말인데 차라리 다른곳에 일을 맡기시는게 어떠신지.,네?
네?,제가 잘아는 디자이너 한명 소개시켜드릴게요. 경력도 꽤 되서 실력도 있는데다가 단가도 여기보다 20프로정도 싸게해줄수 있는 사람인데. 그사람 명함이요.
제가 잘아는 디자이너 한명 소개시켜드릴게요. 경력도 꽤 되서 실력도 있는데다가 단가도 여기보다 20프로정도 싸게해줄수 있는 사람인데. 그사람 명함이요.,라미란?
라미란?,네. 라미란. 저에요.
여기서 뭐하냐,어 뭐
어 뭐,그 사람 연락 기다린거야?
그 사람 연락 기다린거야?,뭐?
뭐?,오다가다 몇번 봤어 많이 친하냐? 
오다가다 몇번 봤어 많이 친하냐? ,내가 좋아하는 사람이야 
내가 좋아하는 사람이야 ,뭐
뭐,좋아하는 사람이라고 내가
좋아하는 사람이라고 내가,아 그래 그 사람도 너 좋아하고? 
아 그래 그 사람도 너 좋아하고? ,어? 
어떻게 돌아가신 거래요? ,"자다가 죽었다지 모냐. 얼마나 좋아. 네 엄마는 그렇게 고생하다 갔는데,,, "
"자다가 죽었다지 모냐. 얼마나 좋아. 네 엄마는 그렇게 고생하다 갔는데,,, ",뭘로 돌아가신 거야? 뭐래요? 전화온데서는. 
뭘로 돌아가신 거야? 뭐래요? 전화온데서는. ,"몰라~부검해봐야 정확한 건 안다는데,, 뭐 하러 부검을해. 뒤숭숭하게.  자다가 죽었으니까 심장마비 아니면은 네 엄마처럼 뇌졸증으로 갔겠지. 그나저나 너 아니였으면 어떻게 거길 찾아 가냐,, 자식들 많아도 다 소용없어. 그래도 자식노릇 하는 건, 너 밖에 없으니 말이야,,"
무슨 운동하냐? 왜 나 팰라고?,그런거 아냐. 갈게.
그런거 아냐. 갈게.,야. 너 아직도 내가 우습냐?
"잠깐! 여보, 단추를 넣어야지. 문 닫으려면.",단추요?
단추요?,"아, 요걸로 눌러 줘야 이게 닫히는 거거든."
"아, 요걸로 눌러 줘야 이게 닫히는 거거든.",띵동.
여태 퇴근 안 했어?,"어, 저, 마무리 할 일이 있어서. 넌 왜 퇴근 안 했냐?"
"어, 저, 마무리 할 일이 있어서. 넌 왜 퇴근 안 했냐?","아, 나도 할 일 있어서."
"아, 나도 할 일 있어서.","어... 저, 할 말 있다며. 뭔데?"
"어... 저, 할 말 있다며. 뭔데?","그게... 저기, 생각을 해 봤는데 니 말대로 일은 그냥 일일 뿐인데. 일은 일로써 받아들여야지 또 그게 일이 되는 거고, 그게 일인 거고, 또."
"그게... 저기, 생각을 해 봤는데 니 말대로 일은 그냥 일일 뿐인데. 일은 일로써 받아들여야지 또 그게 일이 되는 거고, 그게 일인 거고, 또.","영애야, 지금 무슨 소릴 하고 있는 거야?"
"영애야, 지금 무슨 소릴 하고 있는 거야?","일 달라고. 니가 아침에 얘기한 그 일, 내가 할게."
"일 달라고. 니가 아침에 얘기한 그 일, 내가 할게.","뭐? 야, 어떡하냐. 그 일 벌써 딴 업체에 맡겼는데."
"뭐? 야, 어떡하냐. 그 일 벌써 딴 업체에 맡겼는데.",뭐?
뭐?,"아니, 니가 하도 완강하게 나오길래 응당 생각 없는 줄 알고."
"아니, 니가 하도 완강하게 나오길래 응당 생각 없는 줄 알고.","아, 그래? 아이, 괜찮아. 아, 나도 별로 할 생각 없었는데 니가 하도 권하니까 한 번 해 볼까 한 거지. 그렇게 하고 싶은 마음 없었어."
"아, 그래? 아이, 괜찮아. 아, 나도 별로 할 생각 없었는데 니가 하도 권하니까 한 번 해 볼까 한 거지. 그렇게 하고 싶은 마음 없었어.","아, 내가 다른 일이라도 알아봐 줄게."
"아, 내가 다른 일이라도 알아봐 줄게.","아니야, 됐다니까. 진짜 신경 쓰지 마. 서로 얽히지 말자 그래 놓고 번번히 미안하다. 갈게."
"아니야, 됐다니까. 진짜 신경 쓰지 마. 서로 얽히지 말자 그래 놓고 번번히 미안하다. 갈게.",어.
야 넌 오늘 같은 날도 늦냐 어?,많이 기다렸어? 밥은 밥 먹었어?
많이 기다렸어? 밥은 밥 먹었어?,이 와중에 밥이 넘어가?
이 와중에 밥이 넘어가?,밥 안먹었으면 우리 해장 아니 밥이나 한그릇 먹고갈래?
밥 안먹었으면 우리 해장 아니 밥이나 한그릇 먹고갈래?,너랑 밥을 왜먹냐
너랑 밥을 왜먹냐,아진짜 기가 막힌데가 있어서 그래 해장국집인데 지난번에 두그릇 먹었는데 하나 또 들어가더라니까 부족해가지고? 야 담배나 하나 피고가자 
어 영채야. 아 왜 갑자기 영상통화야?,오빠 보고싶어서.
오빠 보고싶어서.,너 지금 혼자있어? 옆에 아무도 없냐규.
너 지금 혼자있어? 옆에 아무도 없냐규.,응. 왜?
응. 왜?,이래서.
이래서.,아이 뭐하는거야? 옷을 홀랑 다벗구.
아이 뭐하는거야? 옷을 홀랑 다벗구.,아 땀띠가 나서. 아 옷을 입고 있으면 더 간지럽길래 그냥 벗고 있는 거라규. 어짜피 아무도 없는데 뭐.
아 땀띠가 나서. 아 옷을 입고 있으면 더 간지럽길래 그냥 벗고 있는 거라규. 어짜피 아무도 없는데 뭐.,엄마 아빠가 와서 보면 어쩌려구.
엄마 아빠가 와서 보면 어쩌려구.,오실려면 멀었다규. 아 근데 거기 지금 한밤중 아니야? 너 안자고 뭐해?
오실려면 멀었다규. 아 근데 거기 지금 한밤중 아니야? 너 안자고 뭐해?,방금 수유 끝냈어. 어휴 하루종일 애들한테 시달렸더니 잠도 안오는거 있지. 기분도 축축 처지구.
방금 수유 끝냈어. 어휴 하루종일 애들한테 시달렸더니 잠도 안오는거 있지. 기분도 축축 처지구.,그럴 만도 하지. 어휴 우리 마누라 불쌍해서 어떡하냐규.
그럴 만도 하지. 어휴 우리 마누라 불쌍해서 어떡하냐규.,오빠가 옆에 있을땐 마사지라도 해주면 기분 풀렸는데.
오빠가 옆에 있을땐 마사지라도 해주면 기분 풀렸는데.,아! 영채야 가만있어 봐봐. 어? 내가 마사지는 못해 주더라도 기분은 풀어 줄 수 있다규. 
아! 영채야 가만있어 봐봐. 어? 내가 마사지는 못해 주더라도 기분은 풀어 줄 수 있다규. ,어?
네.,어디야?
어디야?,사무실이에요.
사무실이에요.,어? 아직도? 어우 진짜 소름끼친다. 같이 야식이나 먹자. 영자씨 배고플 시간이잖아. 뭐야? 치킨이야 족발이야? 둘중에 뭐먹을래?
아 너는 넌 내가 뭐가 좋았는데,잘먹어서 좋았다 너만보면 뭐
아 오늘 진짜 기분 좋네요 사장님,저도요 맨날 오늘만 같았음 좋겠어요 
저도요 맨날 오늘만 같았음 좋겠어요 ,그래 그동안 수고들 했는데 오늘 제대로 놀자 어?
그래 그동안 수고들 했는데 오늘 제대로 놀자 어?,예 초심 잃지 않는 무대 보여드리겠습니다 
예 초심 잃지 않는 무대 보여드리겠습니다 ,그래 그래 그래 자 자 자 자 
그래 그래 그래 자 자 자 자 ,김과장님 폰인데? 단양휴양림 소장님이신데요?
김과장님 폰인데? 단양휴양림 소장님이신데요?,냅둬 산호 오면 받겠지 
냅둬 산호 오면 받겠지 ,아 뭐하지 이거 할래?
아 뭐하지 이거 할래?,그 노래는 잘 몰라요 
그 노래는 잘 몰라요 ,아이 일 땜에 급하신거 같은데 사장님이라도 대신 받아야 되지 않을까요?
아이 일 땜에 급하신거 같은데 사장님이라도 대신 받아야 되지 않을까요?,응? 응
"어, 신경쓰지마. 생일이 뭐 별거야?",올해도 미쓰 리가 미역국이라도 끓여주려나?
올해도 미쓰 리가 미역국이라도 끓여주려나?,어?
어?,"아 왜, 작년에 미쓰 리가 미역국도 끓여주고, 이것 저것 산뜰히도 챙겼었잖아."
"아 왜, 작년에 미쓰 리가 미역국도 끓여주고, 이것 저것 산뜰히도 챙겼었잖아.",아 뭐야. 며느리도 아니고 뭘 바래? 암튼 내 생일은 내가 챙길테니까 신경쓰지 마셔잉?
왜 이렇게 일찍 왔어? 그 떡볶이 집이 맛집이라 줄도 길고 한참 기다려야 되는데.,"오늘따라 손님이 별로 없더라고요. 자, 드세요, 송 사장님."
"오늘따라 손님이 별로 없더라고요. 자, 드세요, 송 사장님.","이 사장, 그 행동은 빠릿한 사람이 눈치가 없네."
"이 사장, 그 행동은 빠릿한 사람이 눈치가 없네.",예? 눈치가 없다뇨?
예? 눈치가 없다뇨?,"떡볶이 사오란 말이 진짜 떡볶이 사오란 말이 아닌데, 에이."
"떡볶이 사오란 말이 진짜 떡볶이 사오란 말이 아닌데, 에이.",예?
예?,"근데 튀김이 안 보이네? 이 사장, 이번엔 튀김 좀 사다 줘."
"근데 튀김이 안 보이네? 이 사장, 이번엔 튀김 좀 사다 줘.",튀김이요?
튀김이요?,"튀김 사오란 말이 그 말이 아닌 거 알지, 이 사장? 이번에는 아주 오래오래 천천히 사오라고, 응? 응? 응?"
야 잘생긴 직원 못생긴 직원 못생긴 사장 너네 완전 대박이다 어? 야 한 잔 해 어?,자 자 건배 
"현영아, 너 먼저 씻어.",정말요? 감사합니다.
정말요? 감사합니다.,으응.
엄마,이집 맛있다
이집 맛있다,응? 아니 너 여기 웬일이야 어디냐고 물어보더니 여기 오려고 했던거야?
응? 아니 너 여기 웬일이야 어디냐고 물어보더니 여기 오려고 했던거야?,아 볼일이 있어서 마침 근처였거든 아 저기 우리엄마 친구분들이셔 인사해
아 볼일이 있어서 마침 근처였거든 아 저기 우리엄마 친구분들이셔 인사해,안녕하세요
안녕하세요,안녕하세요
안녕하세요,누구야?
누구야?,아 우리 직원들인데요 인사드리고 간다그래서요
아 우리 직원들인데요 인사드리고 간다그래서요,아 그래요? 그럼 저 앉아서 식사들하고 가요
아 그래요? 그럼 저 앉아서 식사들하고 가요,아냐아냐 우리는 밥 먹었어 여기 계산해드리려고 온거야 오늘 여기 제가 계산할게요
아냐아냐 우리는 밥 먹었어 여기 계산해드리려고 온거야 오늘 여기 제가 계산할게요,저 주십시오 사장님
저 주십시오 사장님,어 그래
어 그래,비서야?
