Q,A
뭐? 어디봐,야 살살해 내 얼굴은 망가져도 되지만 먹깨비는 안 망가지게
야 살살해 내 얼굴은 망가져도 되지만 먹깨비는 안 망가지게,그냥 확 잘라버리면 되겠구만
그냥 확 잘라버리면 되겠구만,안된다고
안된다고,알겠다고
그 윗사람들한테 눈도장 좀 찍고 댕기자는데 어딜 그렇게 도망쳐 댕기는겨	,조사장님이 잘하고 있잖아요
조사장님이 잘하고 있잖아요,오메 뭐여 이전무 저쪽 좀 봐봐
오메 뭐여 이전무 저쪽 좀 봐봐,왜요 구청장이라도 떴어요?
왜요 구청장이라도 떴어요?,둘이 찰싹 달라붙어서 뭐하는겨 아따 겁나 다정하구마잉
둘이 찰싹 달라붙어서 뭐하는겨 아따 겁나 다정하구마잉,뭐가요 딱봐도 얼굴 낀거 빼주고 있구만 가서 도와줘야겠네
뭐가요 딱봐도 얼굴 낀거 빼주고 있구만 가서 도와줘야겠네,냅둬 저 핑계로 연애하게
야 인간적으로 얼굴 좀 줄일 수 없냐,얼굴을 어떻게 줄여 갑자기 
얼굴을 어떻게 줄여 갑자기 ,아파 씨 빠졌다 
그렇게 좋아요 그냥 아주 입이 귀에 걸리겠네 하긴 뭐 이런 남자친구 없긴 하죠 센스있고 위트있고 자상하고 ,하여간 그 놈의 공치사 입만 살아가지고 맨날 말로만 
하여간 그 놈의 공치사 입만 살아가지고 맨날 말로만 ,아이 그럼 말 뿐이 아니라는 걸 행동으로 보여줘야겠네 
눈을 감아요? 어머 이 여자 응큼한 여자네,아 아 저리가요 저리가 저리가 
아 아 저리가요 저리가 저리가 ,알았어요 누나도 해줄게요
저기 꼬치집 주인 봤어? 완전 팔뚝 깡패야 ,어디어디 완전 멋있어 가보자 가보자 
어디어디 완전 멋있어 가보자 가보자 ,저기 맛 없어요 
저기 맛 없어요 ,네?
네?,저집 꼬치 소름끼치게 짜다니까요 차라리 인도커리를 가요 꼬치 노노 꼬치먹지마요
저집 꼬치 소름끼치게 짜다니까요 차라리 인도커리를 가요 꼬치 노노 꼬치먹지마요,지금 뭐해요 왜 없는말 지어내고 그럽니까
지금 뭐해요 왜 없는말 지어내고 그럽니까,누가 없는 말 지어냈다고 그래요 짠걸 짜다고 그런건데
누가 없는 말 지어냈다고 그래요 짠걸 짜다고 그런건데,먹어보지도 않고 어떻게 압니까
먹어보지도 않고 어떻게 압니까,보면 알거든요
보면 알거든요,저한테 무슨 불만 있으세요?
저한테 무슨 불만 있으세요?,내가 조총무한테 불만 있을게 뭐 있어요 괜히 사적인 감정으로 없는 말 지어내는 속좁은 놈 만드려나 본데 진짜로 짜고 맛없어 보여서 그런거에요 
아 얘가 미쳤나.,아무도 안봐요.
아무도 안봐요.,큰누나? 큰누나. 누나. 어디 갔어 이 시간에.
언니 좀!,야 좀 봐줘! 집에서도 못 피고. 여기서밖에 필 수가 없단말이야.
야 좀 봐줘! 집에서도 못 피고. 여기서밖에 필 수가 없단말이야.,그럼 나가서 펴! 저 뒤에 베란다가서 펴!
그럼 나가서 펴! 저 뒤에 베란다가서 펴!,아 진짜 깐깐하게
아 진짜 깐깐하게,언니 전화네. 형부다! 영상통화야 영상통화!
언니 전화네. 형부다! 영상통화야 영상통화!,미안. 미안. 미안해.
덕선아. 눈 온다.,진짜네? 여보. 야! 눈 온다! 얼른 나와봐! 
진짜네? 여보. 야! 눈 온다! 얼른 나와봐! ,당신도 와. 보고 싶다.
라부장님 때문에 침만 안 맞았으면 이런 일 없었을 거 아니에요,내 날아간 인센티브 물어내
내 날아간 인센티브 물어내,뭐라구요? 아 인간이 진짜 내가 돈이 어딨어요?
뭐라구요? 아 인간이 진짜 내가 돈이 어딨어요?,가방이라도 팔아서 물어내
가방이라도 팔아서 물어내,미쳤어요? 이게 어떤 가방인데
미쳤어요? 이게 어떤 가방인데,물어내
물어내,알았어요 물어낼게 물어낼게
알았어요 물어낼게 물어낼게,거기서 거기 안서?! 라부장
거기서 거기 안서?! 라부장,와 윤차장님 저렇게 화내는거 처음이네
와 윤차장님 저렇게 화내는거 처음이네,그러게요 지렁이도 밟으면 꿈틀한다더니
윤차장님! 어머 어떡해 어머 어떡해 괜찮아요? 좀 일어나봐요 하필 아픈데를,괜찮으세요?
괜찮으세요?,보면 몰라요? 안 괜찮지?
보면 몰라요? 안 괜찮지?,아우 죄송합니다
아우 죄송합니다,어머어머 어떡해 아니 인도에다가 이런 걸 쌓아놓으면 어떡해요 내가 사진찍어가지고 다 올려버릴거야
어머어머 어떡해 아니 인도에다가 이런 걸 쌓아놓으면 어떡해요 내가 사진찍어가지고 다 올려버릴거야,죄송해요 죄송해요 병원가셔야겠다
죄송해요 죄송해요 병원가셔야겠다,윤차장 여기 좀 여기 좀 봐봐요 여기 어디야?
치료비요?,그걸 다요?
그걸 다요?,혹시 라부장이 막 진상 떨어서 뜯어낸거 아니야?
혹시 라부장이 막 진상 떨어서 뜯어낸거 아니야?,아닌데 그건 명백히 공사장측 잘못이라 보상해줘야하는 게 맞는데
아닌데 그건 명백히 공사장측 잘못이라 보상해줘야하는 게 맞는데,그래 내가 얼마나 논리적으로 따져줬는데
그래 내가 얼마나 논리적으로 따져줬는데,아니 그래도 불행중 다행이네요 마침 아픈 쪽으로 넘어지셔가지고
아니 그래도 불행중 다행이네요 마침 아픈 쪽으로 넘어지셔가지고,에이 것도 라부장님 같이 계셨으니까 그러지 윤차장님 혼자 있어봐요 아 비록 이는 부러졌지만 넘어진건 제 잘못이니까 괜찮습니다 하고 그냥 왔겠죠
에이 것도 라부장님 같이 계셨으니까 그러지 윤차장님 혼자 있어봐요 아 비록 이는 부러졌지만 넘어진건 제 잘못이니까 괜찮습니다 하고 그냥 왔겠죠,인생사 새옹지마라더니 정말 한치앞을 모르는게 인생이네요
인생사 새옹지마라더니 정말 한치앞을 모르는게 인생이네요,그러게 말이야 어 수현엄마 응 치과비는 걱정마 큰 계약따서 인센티브 빵빵하게 받았으니까 수현이 피아노 사줘
그러게 말이야 어 수현엄마 응 치과비는 걱정마 큰 계약따서 인센티브 빵빵하게 받았으니까 수현이 피아노 사줘,아빠
아빠,어 수현아 피아노 재밌어? 다음에 아빠 가면 들려줘
혜밀아 혜진아 아빠왔다 아으야,짜잔 
짜잔 ,오 영채 너 뭐야? 
오 영채 너 뭐야? ,옷장 정리했는데 글쎄 대학교 응원부때 입었던 옷이 있더라고 혹시나 해서 입어봤는데 맞는거 있지 어때?
옷장 정리했는데 글쎄 대학교 응원부때 입었던 옷이 있더라고 혹시나 해서 입어봤는데 맞는거 있지 어때?,야 이쁘다 아 안그래도 거래처 들렸다 오느라 피곤했는데 보기만 해도 기운이 난다규
야 이쁘다 아 안그래도 거래처 들렸다 오느라 피곤했는데 보기만 해도 기운이 난다규,그래? 오늘 월급 받아오느라 고생했는데 내가 기운나게 해줄게 힘내라 힘 힘내라 힘 우리 오빠 힘내라 화이팅 얍! 어때 기운 좀 났어?
그래? 오늘 월급 받아오느라 고생했는데 내가 기운나게 해줄게 힘내라 힘 힘내라 힘 우리 오빠 힘내라 화이팅 얍! 어때 기운 좀 났어?,아 나다 뿐이야 막 넘친다규 혜밀이 혜진인?
아 나다 뿐이야 막 넘친다규 혜밀이 혜진인?,안방에서 자 
안방에서 자 ,구래? 기운도 넘치는데 아 오랜만에 힘 좀 써볼까?  
구래? 기운도 넘치는데 아 오랜만에 힘 좀 써볼까?  ,아 뭐야? 
아 뭐야? ,일로와 
아유 갑자기 뭘 먹는다그래?,아이 저녁을 일찍 먹어서 그런가 출출하네 아 내가 알아서 먹을테니까 들어가 
아이 저녁을 일찍 먹어서 그런가 출출하네 아 내가 알아서 먹을테니까 들어가 ,저 냉동실에 찐빵 있어 쪄줄게 드슈 영채야! 영채 너 아니 자네 언제 들어왔나?
예? 아 좀 좀 전에   ,어 아니 저 찐빵 찌면은 먹을건가해서 물어볼려고 
어 아니 저 찐빵 찌면은 먹을건가해서 물어볼려고 ,아 영채가 피곤한지 자네요 
아 영채가 피곤한지 자네요 ,금 자네 먹을거면은 옷 갈아 입고 나오게  
금 자네 먹을거면은 옷 갈아 입고 나오게  ,예 
예 ,아이구 아 이거 문이 왜 이렇게 빡빡해
아이구 아 이거 문이 왜 이렇게 빡빡해,부부방에 저런문은 진짜 너무하다규! 사생활 1도 없다규
아 저 통화 중 이었습니다 죄송합니다 엄마한테 전화가 와서 뭐라고 하신거 같은데 뭐라고..,예? 아니 그게 차 안이 엄청 깨끗하다고요 보통 남자들 이렇게 깔끔하지 않잖아요 대영이 방만해도 엄청 더럽던데
예? 아니 그게 차 안이 엄청 깨끗하다고요 보통 남자들 이렇게 깔끔하지 않잖아요 대영이 방만해도 엄청 더럽던데,어 대영이 방에도 가보셨어요?
어 대영이 방에도 가보셨어요?,예? 아니요 그게 집주인 아줌마 때문에 할 얘기가 있어서 자주 드나들고 그러는 사이는 아니에요 오해하시면 안돼요 오해하시는거 아니죠?
예? 아니요 그게 집주인 아줌마 때문에 할 얘기가 있어서 자주 드나들고 그러는 사이는 아니에요 오해하시면 안돼요 오해하시는거 아니죠?,네? 아 네 안합니다. 아니 옆집사는 이웃끼리 뭐 왕래도 하고 그럴수도 있는 거죠 뭐
네? 아 네 안합니다. 아니 옆집사는 이웃끼리 뭐 왕래도 하고 그럴수도 있는 거죠 뭐,아 근데 대영이는 어릴 때부터 그렇게 붙임성이 좋았어요?
아 근데 대영이는 어릴 때부터 그렇게 붙임성이 좋았어요?,네 초등학생 때도 자기 엄마 떡볶이 가게 영업뛰던 애에요 걔가 
네 초등학생 때도 자기 엄마 떡볶이 가게 영업뛰던 애에요 걔가 ,그래요?
그래요?,오죽하면 별명이 구렁이었겠어요 성은 능. 능구렁이
오죽하면 별명이 구렁이었겠어요 성은 능. 능구렁이,하 능구렁이 야 진짜 잘지었다. 아 저도 같이 조기 축구회 하는데 함께하는 멤버들 다 자기 고객으로 만들더라니까요 진짜 탁월한 @@에요 
하 능구렁이 야 진짜 잘지었다. 아 저도 같이 조기 축구회 하는데 함께하는 멤버들 다 자기 고객으로 만들더라니까요 진짜 탁월한 @@에요 ,맞아요 그 @@가 그런 @@에요 어릴때랑 변한게 하나도 없어요
맞아요 그 @@가 그런 @@에요 어릴때랑 변한게 하나도 없어요,어릴때 부터 둘이 많이 친했나봐요
어릴때 부터 둘이 많이 친했나봐요,어휴 친하긴요 완전 웬수죠 웬수 어후 호랑말코 같은 놈 
어휴 친하긴요 완전 웬수죠 웬수 어후 호랑말코 같은 놈 ,호랑말코요? 그게 뭐에요?
호랑말코요? 그게 뭐에요?,응 모르세요? 어른들이 많이 쓰시는 욕인데 뭐 지 마음대로 하는 놈이라고 
응 모르세요? 어른들이 많이 쓰시는 욕인데 뭐 지 마음대로 하는 놈이라고 ,아 야 역시 작가님이라 그러신지 어휘가 풍부하시네요
아 야 역시 작가님이라 그러신지 어휘가 풍부하시네요,뭘요 아 이런말도 있어요 이런 살구씨발라먹을시베리아벌판같은십장생아 
뭘요 아 이런말도 있어요 이런 살구씨발라먹을시베리아벌판같은십장생아 ,하 아 놀랬잖아요 욕하는 줄 알고 
하 아 놀랬잖아요 욕하는 줄 알고 ,그죠? 욕은 아닌데 욕하는 것처럼 시원하고 좋아요 
그죠? 욕은 아닌데 욕하는 것처럼 시원하고 좋아요 ,어 나도 언제 한번 해봐야 겠네요 
어 삼촌. 왜?,야 내 카드 들고 뭐하는 짓이야? 당장 안 튀어와?
야 내 카드 들고 뭐하는 짓이야? 당장 안 튀어와?,삼촌 어디서 보고 있어? 아 알았어 가면 되잖아. 저 죄송해요. 다음에 와서 살게요.
삼촌 어디서 보고 있어? 아 알았어 가면 되잖아. 저 죄송해요. 다음에 와서 살게요.,다음이 어딨어. 기회가 왔을 때 잡아야지.
다음이 어딨어. 기회가 왔을 때 잡아야지.,삼촌이 안 된대서요. 주세요. 아 주세요. 아 삼촌... 아 주세요!
삼촌이 안 된대서요. 주세요. 아 주세요. 아 삼촌... 아 주세요!,저저 그러지 말고 하나 사지. 이거 팔아가지고 삼촌 돈 갚으면 되잖아.
저저 그러지 말고 하나 사지. 이거 팔아가지고 삼촌 돈 갚으면 되잖아.,"아 그래. 오늘 특별히 행사가로 줄 때 사, 응?"
"아 그래. 오늘 특별히 행사가로 줄 때 사, 응?",뭐하시는 거예요? 애가 싫다잖아요. 자 넣어.
뭐하시는 거예요? 애가 싫다잖아요. 자 넣어.,뭐하시는 거예요? 얼른 가서 홈페이지나 만드시지 않고.
뭐하시는 거예요? 얼른 가서 홈페이지나 만드시지 않고.,"내가 목구멍이 포도청이라 웬만하면 승질 죽이고 돈이나 벌어가지 했는데 미성년자한테까지 이러는 건 아니지, 이 사기꾼들아!"
"내가 목구멍이 포도청이라 웬만하면 승질 죽이고 돈이나 벌어가지 했는데 미성년자한테까지 이러는 건 아니지, 이 사기꾼들아!",아니 사기꾼이라니 어? 아니 이게 나 혼자 잘 먹고 잘 살자고 하는 짓이야? 하나 모이면 둘이 되고 둘이 모이면 넷이 되고 넷이 모여서 여덟이 되고 다 같이 많이 아주...
아니 사기꾼이라니 어? 아니 이게 나 혼자 잘 먹고 잘 살자고 하는 짓이야? 하나 모이면 둘이 되고 둘이 모이면 넷이 되고 넷이 모여서 여덟이 되고 다 같이 많이 아주...,많은 사람 등 쳐먹겠지.
"네 사장님 이따 와서 보세요, 너무 예뻐요. 치킨집으로 갈게요. 어디 가세요?","예 작가들 모임 있어서, 아 핸드폰 두고 나왔네. 나갔다 올게요"
제일 많이 먹는 사람이 쏘는거다,예? 그런게 어딨어요?
예? 그런게 어딨어요?,걱정마. 제일 많이 먹은 사람이 쏘기로 들면 큰 사장님이 쏘면 되니까
헐 치킨 발굴하시는줄,평소 혼자 한마리는 드셨겠어요
평소 혼자 한마리는 드셨겠어요,응? 어
응? 어,영자씨 뭐 화나는 일 있어? 아까까지만해도 꿀벌이 침대왔다고 좋아하더니
영자씨 뭐 화나는 일 있어? 아까까지만해도 꿀벌이 침대왔다고 좋아하더니,큰사장님 많이 먹는게 어디 하루이틀 일인가요
큰사장님 많이 먹는게 어디 하루이틀 일인가요,"아니야 뼈통에 뼈 떨어지는 소리가 다른때랑 다르단말이야. 맛있어서 먹을 때는 장조인데, 오늘은 단조야"
"아니야 뼈통에 뼈 떨어지는 소리가 다른때랑 다르단말이야. 맛있어서 먹을 때는 장조인데, 오늘은 단조야",소름끼쳐
소름끼쳐,사랑이다 사랑이야
사랑이다 사랑이야,그냥 맛있어서 먹는거에요
그냥 맛있어서 먹는거에요,"그러게요, 이집 치킨 진짜 맛있다. 우리 해밀이도 치킨 좋아하는데, 이따 사가야겠다"
야 너 다리 금가서 며칠 입원해야 한다고 하는데 내일 어떻게 출근할라 그래? 그냥 며칠 푹 쉰다 그래,그러다 내 자리 없어지면 니가 책임질래? 거대 기업에서 나같은 일개 말단 사원 대체할 인력은 세고 셌거든? 기어서라도 출근할거야
그러다 내 자리 없어지면 니가 책임질래? 거대 기업에서 나같은 일개 말단 사원 대체할 인력은 세고 셌거든? 기어서라도 출근할거야,칫 세상에서 지가 제일 잘났다고 떠들던 놈이 와 너 진짜 많이 변했다
칫 세상에서 지가 제일 잘났다고 떠들던 놈이 와 너 진짜 많이 변했다,세상이 변했는데 나도 변해야지 요즘 세상엔 연대나오고 토익 900점에 공무원 시험 반년만에 붙은거는 아무것도 아니거든
세상이 변했는데 나도 변해야지 요즘 세상엔 연대나오고 토익 900점에 공무원 시험 반년만에 붙은거는 아무것도 아니거든,그럼 나같은 사람은 어떻게 살라고
그럼 나같은 사람은 어떻게 살라고,저녁식사 나왔습니다 
저녁식사 나왔습니다 ,아이고 고맙습니다 야 저녁이 빨리도 나온다 영주야 저녁먹자
아이고 고맙습니다 야 저녁이 빨리도 나온다 영주야 저녁먹자,됐거든 지금 이딴 밥이 넘어가겠냐? 아씨 내일까지 작성해야하는 보고서도 있는데
됐거든 지금 이딴 밥이 넘어가겠냐? 아씨 내일까지 작성해야하는 보고서도 있는데,야 그래도 얼른 먹고 힘내야 빨리 낫지 야 장조림에 계란말이까지 요즘 병원밥 잘 나온다 어? 
야 그래도 얼른 먹고 힘내야 빨리 낫지 야 장조림에 계란말이까지 요즘 병원밥 잘 나온다 어? ,너 진짜 안먹을거지? 그럼 어짜피 남길 밥 내가 먹는다
너 진짜 안먹을거지? 그럼 어짜피 남길 밥 내가 먹는다,그래 니말대로 먹고 힘내서 빨리 일하러가야지 이대로 주저앉아있어봤자 내 밥그릇 뺏기기만 하곘어? 먹는거야 어? 먹고 일하러 가는거야
나도 두 분한테 드릴 말씀 있는데.,뭐? 뭔데?
뭐? 뭔데?,"저기, 나 몇 달만 여기서 더 살면 안될까? 요? 제가 뭐 여기 있는게 좋아서 그런건 전혀 아니구요, 한참 작품에 몰두해야할 때 집 구하고 이사하는게 영 번거로워서요. 뭐 이번 작품 연재 끝날때까지만."
"저기, 나 몇 달만 여기서 더 살면 안될까? 요? 제가 뭐 여기 있는게 좋아서 그런건 전혀 아니구요, 한참 작품에 몰두해야할 때 집 구하고 이사하는게 영 번거로워서요. 뭐 이번 작품 연재 끝날때까지만.",그거 끝날라면은 아직 석달이나 더 남았다면서요.
그거 끝날라면은 아직 석달이나 더 남았다면서요.,대신 생활비 낼게요.
대신 생활비 낼게요.,생활비?
생활비?,"요새 하숙비 한 5, 60만원 한다니까, 한달에 60. 어때요?"
"영자씨, 내가 절대 안된다고 했으니까 신경쓰지마.",어떻게 신경을 안써요? 저렇게 부탁을 하는데.
어떻게 신경을 안써요? 저렇게 부탁을 하는데.,"됐어, 저렇게 소름끼치게 눈치없는 놈을 어떻게 더 데리고 있어?"
"됐어, 저렇게 소름끼치게 눈치없는 놈을 어떻게 더 데리고 있어?",어차피 3개월이면 꿀벌이도 나오기 전이고. 별로 상관없을거 같은데.
어차피 3개월이면 꿀벌이도 나오기 전이고. 별로 상관없을거 같은데.,영자씨 진심이야? 진짜 괜찮겠어?
뭐야. 아까는 딱 잘라서 안된다고 말하더니.,"나는 안된다고 했는데, 니 형수가 허락하셨어."
"나는 안된다고 했는데, 니 형수가 허락하셨어.","저기요, 근데, 그, 몇가지 규칙을 정할 필요가 있을거 같아요."
"저기요, 근데, 그, 몇가지 규칙을 정할 필요가 있을거 같아요.",규칙이요?
규칙이요?,"네, 저기, 그, 전에도 말씀드렸듯이 화장실 사용하실때는 문을 좀 잠그시고, 변기커버는 사용 후에 좀 내려주세요. 태교에 안좋은 야한거는 눈에 좀 안띄게 해주시구요. 속옷 정도는 스스로 빨아 입으시는게."
"네, 저기, 그, 전에도 말씀드렸듯이 화장실 사용하실때는 문을 좀 잠그시고, 변기커버는 사용 후에 좀 내려주세요. 태교에 안좋은 야한거는 눈에 좀 안띄게 해주시구요. 속옷 정도는 스스로 빨아 입으시는게.",영자씨 그냥 이거 규한이 얘 줘. 너 이거 보고 확실히 지켜.
영자씨 그냥 이거 규한이 얘 줘. 너 이거 보고 확실히 지켜.,생수병에 입 대고 마시지 않기. 방청소하기?
생수병에 입 대고 마시지 않기. 방청소하기?,그럼. 저렇게 계속 드럽게 쓸래? 저기 나중에 우리 꿀벌이 쓸 방이거덩?
그럼. 저렇게 계속 드럽게 쓸래? 저기 나중에 우리 꿀벌이 쓸 방이거덩?,"아, 알았어. 여기, 60만원."
"아, 알았어. 여기, 60만원.",영자씨가 받아. 생활비 영자씨가 관리하잖아.
영자씨가 받아. 생활비 영자씨가 관리하잖아.,네.
네.,"너 임마, 형수한테 감사한줄알아. 형수가 뭐 돈 때문에 오케이했겠냐? 다 니 사정 생각해서 봐준거지."
뭔데 그래요? 아버님이 꿀벌이 이름 지어주려고 하셨나보네요. 아들인거 아셨음 엄청 좋아하셨을텐데.,아버지도 이렇게 어려운한자를. 나중에 우리 꿀벌이 자기이름 한자로 잘 쓰지도 못하겠다.
대충 정리된거같은데? 갈까? 왜?,보일러가 켜져있더라고요.
보일러가 켜져있더라고요.,그래서 집이 따뜻했구나?
첫눈하면 가장 기억에 남는거요?,선우한테 들이대다 까인거? 1988년도. 겨울밤에 엽서쓰고 난리 아주 개난리. 쌩쇼를 했어요.
선우한테 들이대다 까인거? 1988년도. 겨울밤에 엽서쓰고 난리 아주 개난리. 쌩쇼를 했어요.,너 그거 어떻게 아냐? 설마 내가 얘기 했냐?
너 그거 어떻게 아냐? 설마 내가 얘기 했냐?,너에 대해서 내가 모르는게 뭐가 있니. 나한테 잘해. 나니까 너 이런걸 다 이해해주는거야. 세상에 이런 남편이 어디있냐.
너에 대해서 내가 모르는게 뭐가 있니. 나한테 잘해. 나니까 너 이런걸 다 이해해주는거야. 세상에 이런 남편이 어디있냐.,웃기고있네. 너 결혼전에 누구누구 만났는지 한 번 읊어봐? 밤샐까?
웃기고있네. 너 결혼전에 누구누구 만났는지 한 번 읊어봐? 밤샐까?,야 근데 그 88년도면 우리가 그 대학가요제 갔었을때 아닌가? 체조경기장이었나?
야 근데 그 88년도면 우리가 그 대학가요제 갔었을때 아닌가? 체조경기장이었나?,대학가요제는 또 누구랑 갔냐?
대학가요제는 또 누구랑 갔냐?,아니야. 우리 애들이랑 같이 갔었잖아.
아니야. 우리 애들이랑 같이 갔었잖아.,집에서 봤다니까 테레비로.
집에서 봤다니까 테레비로.,아니야 가서 봤어. 그 88년도 대상 누구냐. 전유나의 사랑이라는 건.
아니야 가서 봤어. 그 88년도 대상 누구냐. 전유나의 사랑이라는 건.,"그건 89년도고, 88년도는 무한궤도! 그대에게!"
"그건 89년도고, 88년도는 무한궤도! 그대에게!","어, 에이 아니야 전유나야."
"어, 에이 아니야 전유나야.",아이고 무한궤도라니깐!
아오 집에가도 반겨주는 사람도 없고 어떻게 소주한잔이라도 할까요? ,니 와이프 친정에서 아직 안왔냐?
니 와이프 친정에서 아직 안왔냐?,장모님이 애 봐주니까 세상 편하다 어떻게 어떠세요
장모님이 애 봐주니까 세상 편하다 어떻게 어떠세요,글쎄 난 데이트있을거같은데
글쎄 난 데이트있을거같은데,야 이영애 잠깐 시간돼냐
야 이영애 잠깐 시간돼냐,왜?
왜?,의논할게 있어서
의논할게 있어서,어 그래 가 저 얘기 좀 하고 갈게요
어 그래 가 저 얘기 좀 하고 갈게요,어 그래 
어 그래 ,뭐야 영애씨 퇴근하길 마치 기다린 사람처럼
뭐야 영애씨 퇴근하길 마치 기다린 사람처럼,그러게 
그러게 ,가 집에가서 소주나 한잔해
가 집에가서 소주나 한잔해,아니 데이트 약속 있으시다면서요 
아니 데이트 약속 있으시다면서요 ,있을 거 같다했지 내가 언제 있댔어? 여친님 바쁘다고 문자 왔거든 빨리가
있을 거 같다했지 내가 언제 있댔어? 여친님 바쁘다고 문자 왔거든 빨리가,뭐야 왜 우리한테 신경질이야
네,안녕히가세요
안녕히가세요,네
진정석쌤 잘 안 웃는 걸로 유명한데 한 번 웃어주세요 라는데...,네 뭐.
네 뭐.,"오 난리났네요. 미소의 정석 진정석이래요. 어, 애정결핍님이 손가락 하트 좀 날려달라는데요."
"오 난리났네요. 미소의 정석 진정석이래요. 어, 애정결핍님이 손가락 하트 좀 날려달라는데요.",손가락 하트? 그게 뭐지?
손가락 하트? 그게 뭐지?,아 요즘에는 그게 아니고 요렇게... 날려주세요. 오와 접속자 수 엄청 올라가요. 200에 202... @@@ 오 대박. 오늘 여의도 불꽃 축제인데 두 분이 저희 대신 가셔서 인증샷 찍어주세요. 아 이건 좀... 저 혼자면 몰라도 진교수님은 워낙 바쁘신 분이라...
아 요즘에는 그게 아니고 요렇게... 날려주세요. 오와 접속자 수 엄청 올라가요. 200에 202... @@@ 오 대박. 오늘 여의도 불꽃 축제인데 두 분이 저희 대신 가셔서 인증샷 찍어주세요. 아 이건 좀... 저 혼자면 몰라도 진교수님은 워낙 바쁘신 분이라...,예 뭐 좋습니다. 여러분들이 원한다면. 대신 접속자 수가 500명이 넘는다면 그 공약 제가 지켜보도록 하겠습니다.
예 뭐 좋습니다. 여러분들이 원한다면. 대신 접속자 수가 500명이 넘는다면 그 공약 제가 지켜보도록 하겠습니다.,에이 500명이요? 말도 안돼.
에이 500명이요? 말도 안돼.,예예예 그래요. 널리널리 알려주세요. 박하나 교수님 홍보가 된다면 제가 뭔들 못하겠습니까.
예예예 그래요. 널리널리 알려주세요. 박하나 교수님 홍보가 된다면 제가 뭔들 못하겠습니까.,어 아이디 어쩌면천재님. 진쌤 박쌤 두 분 클럽이라 생각하시고 춤춰주세요.
어 아이디 어쩌면천재님. 진쌤 박쌤 두 분 클럽이라 생각하시고 춤춰주세요.,아 이건 아닙니다. 제가 못하는 거 없이 다 잘하는데 유일하게 못하는 게 있다면 그건 바로 춤입니다. 
아 이건 아닙니다. 제가 못하는 거 없이 다 잘하는데 유일하게 못하는 게 있다면 그건 바로 춤입니다. ,저도요. 어쩌죠?
저도요. 어쩌죠?, 어쩌긴 뭘 어쩝니까? 춤은 절대 안 됩니다. 
네 상우씨,왜 안오세요?
왜 안오세요?,아 저 화장실 줄이 길어서요 네 금방가요 네 네 
난 오렌지주스 영희씨는? ,아 저는 라떼요
아 저는 라떼요,7500원입니다
7500원입니다,이건 내가 쏠게 아참 그리고 이거 여기 쿠폰인데 난 10개 다 찍은거 하나 더 있거든? 영희씨 가져 
이건 내가 쏠게 아참 그리고 이거 여기 쿠폰인데 난 10개 다 찍은거 하나 더 있거든? 영희씨 가져 ,아이 아니에요 됐어요
아이 아니에요 됐어요,넣어둬 넣어둬
넣어둬 넣어둬,라 과장님 아드님 미술숙제 때문에 이러는건 아는데요 저 진짜 그건 못해드려요 저 일도 바쁘고  
