Q,A
"이사장 살찌는거야 하루 이틀이 아닌디, 왜 갑자기 살을 뺀다고 난리여? 누구 이쁘게 보일 사람이라도 생긴겨?","건강때문에 뺀다니까, 다들 협조하시죠. 혹시 애가 뭐 먹거나 술마시면, 저한테 제보하시구요"
"건강때문에 뺀다니까, 다들 협조하시죠. 혹시 애가 뭐 먹거나 술마시면, 저한테 제보하시구요","조총, 제보하면 뭐 있어요 조총무?"
"조총, 제보하면 뭐 있어요 조총무?",원하시는 안주 무료로 드리겠습니다
원하시는 안주 무료로 드리겠습니다,이사장이 친구하나는 잘뒀네. 건강까지 챙겨주고 말이여
이사장이 친구하나는 잘뒀네. 건강까지 챙겨주고 말이여,그러게 말입니다
그러게 말입니다,"그럼 그 술은 조총무가 대신 한잔 쭉 마셔요, 어차피 따라놓은건데"
"그럼 그 술은 조총무가 대신 한잔 쭉 마셔요, 어차피 따라놓은건데",전 술 못마신다고 말한거같은데
전 술 못마신다고 말한거같은데,버릴거면 저 주세요
"근데 조총무가 왜 영애씨 다이어트까지 신경쓰는거야, 둘이 뭐야?","뭐긴 뭐에요, 그냥 친구사이죠"
비빔면으로 줘.,생면국수랑 메밀전병도 같이.
생면국수랑 메밀전병도 같이.,어서와요 오빠. 여기 11번 테이블 주문이요.
어서와요 오빠. 여기 11번 테이블 주문이요.,야 이래서 이웃이 좋다니까 어? 안그래도 혼자 먹어야 되나 걱정했는데. 자리없어.
야 이래서 이웃이 좋다니까 어? 안그래도 혼자 먹어야 되나 걱정했는데. 자리없어.,아이씨.
많이 아프냐?,말 시키지마
하지마라 나 이딴 여자대접 딱 질색이거든?,여자대접이 아니라 환자대접 해주는거야 너 발 아프잖아 통풍 찾아보니까 살짝만 스쳐도 무지 아프다던데 나 붙잡고 내리라고
여자대접이 아니라 환자대접 해주는거야 너 발 아프잖아 통풍 찾아보니까 살짝만 스쳐도 무지 아프다던데 나 붙잡고 내리라고,됐어 하지마
됐어 하지마,얼레 저게 뭔 그림이여
얼레 저게 뭔 그림이여,아진짜
아진짜,저거는 보통 친구 사이에 하는 행동이 아니지 않어? 안그래 이전무?
저거는 보통 친구 사이에 하는 행동이 아니지 않어? 안그래 이전무?,아 간다간다
아 간다간다,조심해
조심해,조총무 데이트하고 오는개벼? 싸가지 없는 놈 번번히 말을 씹어먹어
어 전무님 ,스잔 어디가
스잔 어디가,저희껀줄 알고 뜯어봤는데 포차꺼더라구요
저희껀줄 알고 뜯어봤는데 포차꺼더라구요,뭔데 그래? 조총무
뭔데 그래? 조총무,네 무슨 볼일 있으십니까?
네 무슨 볼일 있으십니까?,그쪽게 우리쪽으로 와서요
근데 그날 영애씨 양평으로 놀러가기로 했던 날 아닙니까?,네 맞는데 왜요?
네 맞는데 왜요?,조총무 그날 안 간다더니 과속까지 해가면서 영애씨 데리러 가고 아무리 친구사이라도 남들 오해하면 어쩌려고 그래요?
조총무 그날 안 간다더니 과속까지 해가면서 영애씨 데리러 가고 아무리 친구사이라도 남들 오해하면 어쩌려고 그래요?,남들 오해하건 말건 상관없는데요 제가 걱정돼서 간겁니다
남들 오해하건 말건 상관없는데요 제가 걱정돼서 간겁니다,이봐요 조총무 당신 입장만 생각하지 말라고요 가뜩이나 말 많은 사람들이 지켜보고 있는데 영애씨 입장도 생각해야할 거 아니에요?
이봐요 조총무 당신 입장만 생각하지 말라고요 가뜩이나 말 많은 사람들이 지켜보고 있는데 영애씨 입장도 생각해야할 거 아니에요?,영애가 사람들한테 오해살까봐 신경쓰이는 겁니까 아님 본인이 신경쓰여서 이러는 겁니까? 그보다 제가 왜 이런 충고를 들어야하는지 모르겠네요 이승준씨 저한테 이런 말 할 자격 없잖아요
블로거라는 놈이 그것도 모르냐,아이 누가 대하가 제철이래 대하 밑에 깔린 소금이 제철이라고 그래서 일부러 천일염쓰는데 데리고 왔구만
아이 누가 대하가 제철이래 대하 밑에 깔린 소금이 제철이라고 그래서 일부러 천일염쓰는데 데리고 왔구만,야 소금이 철이 어딨냐
야 소금이 철이 어딨냐,있거든 이 최상급 소금이 나오는게 오월말에서 유월초거든 이십사에서 이십칠의 적절한 기온과 서쪽에서 불어오는 미풍이 이 중간크기의 최상급 천일염을 만든다고 
있거든 이 최상급 소금이 나오는게 오월말에서 유월초거든 이십사에서 이십칠의 적절한 기온과 서쪽에서 불어오는 미풍이 이 중간크기의 최상급 천일염을 만든다고 ,대하가 철이 아닌데 소금이 최상급이어 봤자 뭐하냐
대하가 철이 아닌데 소금이 최상급이어 봤자 뭐하냐,아이 뭐라고? 최상급이어봤자? 
아이 뭐라고? 최상급이어봤자? ,자고로 빛과 소금이라는 말이있을 정도로 이 소금은 우리생활에선 없어선 안될 공기같은 조미료지 그 중 최상급 소금은 다른 소금들이 간수를 머금고 있어서 쓴맛을 내는데 비해 간수를 머금고 있어도 쓴맛이 나지 않는다고 게다가 강제로 탈수를 한 소금은 미네랄 성분도 함께 빠져나오지만 이 천일염은 강제탈수를 할 필요가 없기 때문에 미네랄까지 풍부하게 품고있어 제철이 아니라 아쉬운 대하에게 고급진 짭쪼름함을 선사해 맛을 업그레이드 시켜주고 미네랄로 영양까지 보충해 준다고 
자고로 빛과 소금이라는 말이있을 정도로 이 소금은 우리생활에선 없어선 안될 공기같은 조미료지 그 중 최상급 소금은 다른 소금들이 간수를 머금고 있어서 쓴맛을 내는데 비해 간수를 머금고 있어도 쓴맛이 나지 않는다고 게다가 강제로 탈수를 한 소금은 미네랄 성분도 함께 빠져나오지만 이 천일염은 강제탈수를 할 필요가 없기 때문에 미네랄까지 풍부하게 품고있어 제철이 아니라 아쉬운 대하에게 고급진 짭쪼름함을 선사해 맛을 업그레이드 시켜주고 미네랄로 영양까지 보충해 준다고 ,으음 뭐래 그럼 넌 소금이나 먹어라 대하는 내가 다 먹을 테니까 오호 축제구나 
이 누나가 대하를 어떻게 먹는지 스킬을 가르쳐주마 이렇게 머리를 따고 껍질을 이렇게 이렇게  ,원래 대하는 이렇게 먹는 거야 키토산 몰라?
원래 대하는 이렇게 먹는 거야 키토산 몰라?,야 천천히 먹어라 인간적으로 껍질은 벗겨먹자 반칙이다 
뜨거워 벗겨먹어 이에 껴,대하는 시간싸움이야 먼저 먹는사람이 많이 먹는거야
대하는 시간싸움이야 먼저 먹는사람이 많이 먹는거야,아 장난아니네
아이 꼭 이렇게 까지 해야 해요? 아줌마들 저렇게 많은데,왜요? 싫어요?
왜요? 싫어요?,아이 아니요 싫다는게 아니라
아이 아니요 싫다는게 아니라,남자들은 나이가 들면 점점 인간관계가 좁아지죠 하지만 여자는 달라요 점점 모임이 많아지거든요 
남자들은 나이가 들면 점점 인간관계가 좁아지죠 하지만 여자는 달라요 점점 모임이 많아지거든요 ,아
아,저분들 1인당 직계 가족 및 친인척 30명 각종 계 동창 종교모임등 70명이라고 쳐봐요 한 사람만 잡으면 자동적으로 약 100명의 사람들이 내 고객이 되는거라구요
저분들 1인당 직계 가족 및 친인척 30명 각종 계 동창 종교모임등 70명이라고 쳐봐요 한 사람만 잡으면 자동적으로 약 100명의 사람들이 내 고객이 되는거라구요,우와 정말 듣고보니 그러네요
우와 정말 듣고보니 그러네요,그니까 가서 자연스럽게 운동하면서 저분들의 성향도 파악하고 친분도 쌓아봐요
그니까 가서 자연스럽게 운동하면서 저분들의 성향도 파악하고 친분도 쌓아봐요,네! 알겠다규요  
저 직원이 아침 드라마 남주처럼 느끼하게 생겨서 아줌마들한테 인기가 좋거든요? 저 직원이 들어간 사진을 전단지에 팍 박으면은 다음달부터 회원수가 파파박 하고 늘어나게 되있데니까요,그러게요 회원님들이 아주 좋아하시네요   
그러게요 회원님들이 아주 좋아하시네요   ,만지지 좀 마시라규요
만지지 좀 마시라규요,어떻게 전단지 첨부 작업 바로 들어갈까요?
어떻게 전단지 첨부 작업 바로 들어갈까요?,어우 엉덩이는 좀 
어? 줘.,고마워요 오빠. 한가한 시간이라 저도 식사타임인데 같이 먹어도 되죠?
고마워요 오빠. 한가한 시간이라 저도 식사타임인데 같이 먹어도 되죠?,어. 앉어 앉어. 
미안. 내가 점심을 못 먹어서. 알잖아. 나 밥 혼자 먹는거 소름끼치게 싫어하는거.,네. 근데 왠지 경찰서에 갔다온게 아니라 감옥에 갔다온 기분이네요.
네. 근데 왠지 경찰서에 갔다온게 아니라 감옥에 갔다온 기분이네요.,건강땜에 다이어트 한다며. 어디 아픈건 아니지?
건강땜에 다이어트 한다며. 어디 아픈건 아니지?,"에. 그럼요, 아프긴요."
"에. 그럼요, 아프긴요.",앞으론 경찰서 가지마. 요즘 세상 험하잖아. 막돼먹은 놈들봐도 그냥 대충 참으면서 그렇게 살아.
앞으론 경찰서 가지마. 요즘 세상 험하잖아. 막돼먹은 놈들봐도 그냥 대충 참으면서 그렇게 살아.,네.
네.,우리 원래는 공연봤을 시간이네?
우리 원래는 공연봤을 시간이네?,그러네요.
그럼 전 거래처 들를데가 있어서 먼저 가볼게요.,"뭐야, 사무실 같이 가자고 할까봐 둘러대는거야?"
"뭐야, 사무실 같이 가자고 할까봐 둘러대는거야?","아니에요, 진짜 약속있어서 그래요."
"아니에요, 진짜 약속있어서 그래요.","알았어, 나도 어차피 못데려다줘. 딴데 가야돼서."
"알았어, 나도 어차피 못데려다줘. 딴데 가야돼서.","예, 그럼 나중에 사무실에서 뵈요, 전무님."
"예, 그럼 나중에 사무실에서 뵈요, 전무님.","어, 잘가, 영자씨. 아, 미안. 말실수했다. 잘가, 영애씨."
"어, 잘가, 영자씨. 아, 미안. 말실수했다. 잘가, 영애씨.","네, 그럼."
바지락 껍질부터 좀 골라내구요.,뭐래는거야? 그거 골라내는 사이에 면 다 불거든?
뭐래는거야? 그거 골라내는 사이에 면 다 불거든?,백수지가 보면 한소리 하겠네.
백수지가 보면 한소리 하겠네.,네?
네?,아니 나도 너처럼 껍질 다 골라내고 먹는 스타일이라고. 
아니 나도 너처럼 껍질 다 골라내고 먹는 스타일이라고. ,아아 
뭐 해 여기서?,아니 아니 아 내릴 거 없어.
"아, 실례합니다만, 여기가 낙원사 맞습니까?","아 예, 그런데 어떻게 오셨습니까?"
"아 예, 그런데 어떻게 오셨습니까?","아 예. 처음뵙겠습니다. 낙원사에 새로 부임하게 될 사장, 김형일이라고 합니다."
"아 예. 처음뵙겠습니다. 낙원사에 새로 부임하게 될 사장, 김형일이라고 합니다.",네?
네?,사장이요?
그럼 이렇게 막으면 되지.,그럼 다시 이 쪽으로 젖히죠.
그럼 다시 이 쪽으로 젖히죠.,응? 오. 환접.
응? 오. 환접.,이 쪽으로 치중합니다.
이 쪽으로 치중합니다.,응? 역시. 다르긴 다르구만. 응? 아이 이거 내가 다 죽었네.
응? 역시. 다르긴 다르구만. 응? 아이 이거 내가 다 죽었네.,죄송합니다 어르신. 죄송합니다. 이리와. 죄송합니다.
안 끝났는데.,야 니가 지금 동네 바둑 둘 짬밥이야?
야 니가 지금 동네 바둑 둘 짬밥이야?,그래도 부탁하시니까.
그래도 부탁하시니까.,시끄러. 빨리와.
덕선아. 미안해 완전 까먹었어. 진짜 미안해.,뭐가? 
뭐가? ,"나 마니또, 너야. "
"나 마니또, 너야. ",맞지?내 마니또 너 맞지 어?
맞지?내 마니또 너 맞지 어?,어. 나야. 아 근데 정신이 없었어. 미안해. 진짜 미안해.
어. 나야. 아 근데 정신이 없었어. 미안해. 진짜 미안해.,괜찮아. 야 지금 니가 마니또 신경 쓸 군번이냐. 그리고 나도 마니또 별 관심 없었어. 그냥 애들이 다 하니까 궁금해가지고 그런거야. 괜찮아.
괜찮아. 야 지금 니가 마니또 신경 쓸 군번이냐. 그리고 나도 마니또 별 관심 없었어. 그냥 애들이 다 하니까 궁금해가지고 그런거야. 괜찮아.,선물 뭐 갖고싶어? 다 사줄게.
선물 뭐 갖고싶어? 다 사줄게.,아니야. 됐어.
아니야. 됐어.,얼른 얘기해. 셋 센다? 하나.
얼른 얘기해. 셋 센다? 하나.,"장갑. 핑크색 장갑, 앙고라. "
"장갑. 핑크색 장갑, 앙고라. ","그래, 알았어. 아빠거랑 똑같은거로 사줄게."
"그래, 알았어. 아빠거랑 똑같은거로 사줄게.",얼른 들어가 춥다.
얼른 들어가 춥다.,알았어 잘자.
알았어 잘자.,너도.
취향을 몰라서 임의대로 사왔는데 입맛에 맞을는지 모르겠네요.,"아우 무슨 말씀을요, 대접은 저희가 해야되는데."
"아우 무슨 말씀을요, 대접은 저희가 해야되는데.","직원이 왜 사장을 대접합니까, 귀한 인력으로 회사에 보탬을 주시는 것만 해도 감사한데. 사장이 직원을 대접해야죠. 옛말에 임금은 백성을 하늘로 삼는다고, 저는 직원들을 하늘처럼 섬기는 그런 사장이 될 생각입니다."
"직원이 왜 사장을 대접합니까, 귀한 인력으로 회사에 보탬을 주시는 것만 해도 감사한데. 사장이 직원을 대접해야죠. 옛말에 임금은 백성을 하늘로 삼는다고, 저는 직원들을 하늘처럼 섬기는 그런 사장이 될 생각입니다.",아 진짜 훌륭하세요! 아이 센스쟁이!
이거 먹어봐요 따뜻해,고맙습니다
드셔보세요,아 예
자요,고맙습니다
김변호사님은 왜 안드세요,안 먹긴요 먹고있어요
야 너 여기 어떻게 알고왔냐. 누가 또 제보했냐?,뭐하냐 여기서. 것도 혼자
뭐하냐 여기서. 것도 혼자,남이사 이리내
남이사 이리내,안돼. 술 마시면 더 아플 수도 있잖아 
안돼. 술 마시면 더 아플 수도 있잖아 ,오늘은 좀 마시고 싶으니까 내놔
오늘은 좀 마시고 싶으니까 내놔,이승준. 그 사람 때문이야? 중국갔다며. 오랫동안 안온다던데. 그래서 그래?
이승준. 그 사람 때문이야? 중국갔다며. 오랫동안 안온다던데. 그래서 그래?,나도 모르겠다 내 마음. 그래서 말인데 나 더이상 나쁜 년 만들지 말고 니 맘 접으면 안되겠냐 
나도 모르겠다 내 마음. 그래서 말인데 나 더이상 나쁜 년 만들지 말고 니 맘 접으면 안되겠냐 ,뭐?
뭐?,"오늘 같은 날, 너 같이 장사하는 애한테 얼마나 대목인데 나 때문에 가게 문닫겠단 소릴해. 나 너 손해보는 것도 싫고, 그만해라. "
"오늘 같은 날, 너 같이 장사하는 애한테 얼마나 대목인데 나 때문에 가게 문닫겠단 소릴해. 나 너 손해보는 것도 싫고, 그만해라. ",그건 내 몫이고
그건 내 몫이고,그럼 솔직하게  얘기할게. 나 아무래도 아직 그. 야 너 술 못마신다며. 야 너 괜챃아?
야야야 야 괜찮아? 가게까지 같이 가줄까?,됐어 집에 가라. 술 마시지 말고. 
야 이영애,어
어,나 술마심 필름 끊기거든. 그러니까 오늘 들은 얘기 못들은걸로 할게. 
"아이 사장님, 이거 축축하실 것 같은데 제가 좀 닦아드릴게요.","아닙니다, 됐습니다. 옛말에 목 마른 자가 우물을 판다고, 제가 흘린건데 제가 닦아야죠."
여기 어떻게,"우리 아버지 쓰러지셨을때, 영자씨가 와서 옆에 있어줬잖아. 나도 그렇게 해주고싶어서 왔어"
뭐야 왜이래?,언니 이런데서 자는거야?
언니 이런데서 자는거야?,왜이래
왜이래,라면은 뭐냐? 너 돈 없어? 밥 사먹어!
라면은 뭐냐? 너 돈 없어? 밥 사먹어!,돈 있어 시간이 없어서 그래 야 
돈 있어 시간이 없어서 그래 야 ,언니 바보같애
언니 바보같애,뭐하는짓이야 진짜
"나가 이거 휴지는 네 칸 안짝으로 쓰라고 혔어, 안 혔어? 누구, 누구?",처음 뵙겠습니다. 전 김형일이라고.
처음 뵙겠습니다. 전 김형일이라고.,"아, 예. 큰 사장님한테 얘긴 들었습니다."
"아, 예. 큰 사장님한테 얘긴 들었습니다.",예.
예.,긴 얘기는 나가서 하시죠.
긴 얘기는 나가서 하시죠.,"아, 예. 제가 사장으로 부임하게 되면, 화장실에 비데부터 설치해야겠네요. 그럼 조만간 또 뵙겠습니다."
황교수. 지금 내 얘기가 지루해?,아니요.
아니요.,응?
응?,"나 증말 어이가 없네. 야, 내 애기가 지루하냐?"
"나 증말 어이가 없네. 야, 내 애기가 지루하냐?","에이, 아니요. 어머, 이렇게 중차대한 얘기를 하시는데 하품이라니요. 어이가 없네. 계속 하시지요, 원장님."
"어, 영민이는 뭐래냐?","아, 연말이라 가게 예약이 꽉 찼나봐요. 내일 모레쯤 올라온다 그러네요."
"아, 연말이라 가게 예약이 꽉 찼나봐요. 내일 모레쯤 올라온다 그러네요.","집안 꼴 좋다. 어? 아니 내가 이렇게 아파 누워있는데 니 엄만 좋다고 돌아다니고 그 하나뿐인 아들은 코빼기도 안보이고. 어이고, 이 장녀가 대체 못하니 원, 아니 이 나이 먹도록 제대로 해 놓은거 하나도 없이 이게 뭐야, 응?"
"집안 꼴 좋다. 어? 아니 내가 이렇게 아파 누워있는데 니 엄만 좋다고 돌아다니고 그 하나뿐인 아들은 코빼기도 안보이고. 어이고, 이 장녀가 대체 못하니 원, 아니 이 나이 먹도록 제대로 해 놓은거 하나도 없이 이게 뭐야, 응?",무슨말을 그렇게 해요? 내가 어디가 어때서?
무슨말을 그렇게 해요? 내가 어디가 어때서?,"뭐, 뭐?"
"뭐, 뭐?",영민이가 그렇게 보고 싶음 아빠가 직접 전화하세요. 아들앞에선 암말 못하면서 나한텐 왜 그래?
영민이가 그렇게 보고 싶음 아빠가 직접 전화하세요. 아들앞에선 암말 못하면서 나한텐 왜 그래?,뭐?
뭐?,"그래, 나 이 나이 먹도록 시집도 못가고, 모아놓은 돈도 없고 뭐하나 제대로 하는거 없으니까 마음에 안드시겠지. 이제 속시원해요?"
"그래, 나 이 나이 먹도록 시집도 못가고, 모아놓은 돈도 없고 뭐하나 제대로 하는거 없으니까 마음에 안드시겠지. 이제 속시원해요?","야, 영애야. 너."
"자네, 여기 왜 이러고 서있나?","아, 장모님. 그, 그, 그게요."
"안녕하세요. 쌍문동에서 온 정봉이 엄마, 노래하는 치타 라미란입니다.",준비되셨죠?
준비되셨죠?,"네, 시작하겠습니다."
수고하셨습니다. 다음 분.,아아 아니 아니요. 저... 저 아직 안 했는데...
아아 아니 아니요. 저... 저 아직 안 했는데...,아니 반주 테이프도 없으신데 어떻게 하시려구요. 보니까 윤수일의 황홀한 고백이신데...
아니 반주 테이프도 없으신데 어떻게 하시려구요. 보니까 윤수일의 황홀한 고백이신데...,할 수 있습니다. 할 수 있습...
자 이제 본격적으로 먹어볼까? 일단 속을 깨끗이 비워야겠어. 나 화장실.,아 씨 드럽게 진짜!
