Q,A
아 꼭 이런 걸 입어야 돼요?,왜~ 서울 가면 또 몰래 연애해야 되는데 여기서라도 커플 티 팍팍 내야지.
 나 소개팅 할까? 나 소개팅 하냐고. ,하지마. 소개팅.
아 나도 얼마전에 테레비전에서 첫사랑 봤는데,첫사랑이 연예인이에요?
첫사랑이 연예인이에요?,아니요 얼마전 뉴스에서 해외원정도박으로 줄줄이 잡혀간 사람들 나왔잖아요. 그 중 한명이더라규요. 학창시절에도 창가에 앉아 창 밖만 바라보더니 호송차량에서도 창 밖만 내다보고. 역시 첫사랑은 다시 만나면 좋을게 없더라규요 
아니요 얼마전 뉴스에서 해외원정도박으로 줄줄이 잡혀간 사람들 나왔잖아요. 그 중 한명이더라규요. 학창시절에도 창가에 앉아 창 밖만 바라보더니 호송차량에서도 창 밖만 내다보고. 역시 첫사랑은 다시 만나면 좋을게 없더라규요 ,아닌데 그 오빤 여전히 멋있고 잘생겼던데요. 
아 분명히 뭔가 있는데. 정봉이형. 둘이 뭔가 좀 이상한거 같. 오 오.,아이 또 꽝.
언제부터 여기있었어요?,어. 얼마되지 않았습니다. 아 저도 방금전에 왔습니다.
그럼 당분간 윤과장님 집에서 지내시는 거예요?, 어 나도 회사 근처에 집 알아봐야지. 근데 영자씨 거기 옛날에 살던 동네라고 했지?
 어 나도 회사 근처에 집 알아봐야지. 근데 영자씨 거기 옛날에 살던 동네라고 했지?,예 초등학교 때요.
예 초등학교 때요.,아 영자씨 어렸을 땐 어땠어? 그때도 지금처럼 이렇게 소름끼치게 귀여웠어?
아 영자씨 어렸을 땐 어땠어? 그때도 지금처럼 이렇게 소름끼치게 귀여웠어?,아이 왜 그러세요? 사람들도 있는데. 
아이 왜 그러세요? 사람들도 있는데. ,뭐 어때? 저기요~ 우리 둘이 사귀거든요. 제 애인이에요.
뭐 어때? 저기요~ 우리 둘이 사귀거든요. 제 애인이에요.,아휴 그만하세요. 아 저 화장실좀요.
덕선아.,수연이.
수연이.,수연이가 누구야?
수연이가 누구야?,나 내가 수연이야. 이제부터 수연이라고 불러. 그래야지 나 대학갈 수 있대. 너 지금 나 비웃는 거야?
나 내가 수연이야. 이제부터 수연이라고 불러. 그래야지 나 대학갈 수 있대. 너 지금 나 비웃는 거야?,아니. 미쳤어?
아니. 미쳤어?,너 똑바로해. 내가 여기서 너 많이 봐준다. 어?
너 똑바로해. 내가 여기서 너 많이 봐준다. 어?,알았어.
"영자씨! 큰 사장님이 왜 자꾸 허드렛일을 하고 그래. 할일 있으면 나 시키라니까, 이리내 내가 할게",다했어요
다했어요,그래? 그럼 나랑 집에좀 올라가자
그래? 그럼 나랑 집에좀 올라가자,"왜요? 무슨 일인데요, 아 뭔데 그래요?"
"왜요? 무슨 일인데요, 아 뭔데 그래요?","조심, 짜잔! 어때 영자씨 맘에들어?"
"조심, 짜잔! 어때 영자씨 맘에들어?",침대왔네? 음 사진보다 실물이 훨 나은데요
침대왔네? 음 사진보다 실물이 훨 나은데요,"침대를 사진으로만 봐서 알 수 있나, 일단 누워봐봐, 아 빨랑. 어때? 좋지?"
"침대를 사진으로만 봐서 알 수 있나, 일단 누워봐봐, 아 빨랑. 어때? 좋지?",네 편하고 좋네요
네 편하고 좋네요,오용오용오용오용 우리 꿀벌이도 좋아요? 영자씨! 꿀벌이도 좋대
오용오용오용오용 우리 꿀벌이도 좋아요? 영자씨! 꿀벌이도 좋대,좋대요? 다행이네요
좋대요? 다행이네요,"우와, 이제 우리 두달만 있으면 결혼하네, 영자씨. 난 아직 실감이 안나. 우리 꿀벌이며 결혼이며 너무 일사천리로 진행되서, 꿈만 같에. 영자씨는, 많이 피곤했나보네. 눕자마자 잠들고"
"어, 저기요! 신발좀 던져주세요. ",아. 네!
아. 네!,"얼른요, 얼른. 빨리, 빨리."
방송사고보다 더 놀랬네.,염병할 년. 너 그 몰골로 이 시간에 어딜 간다 그래!
염병할 년. 너 그 몰골로 이 시간에 어딜 간다 그래!,"라면 먹으러. 가자, 선우야."
누나. 아 왜 이렇게 늦게 와요 15분이나 지났는데.,동네 광고하냐 우리 사귄다고?
동네 광고하냐 우리 사귄다고?,아 누가 봐요 아무도 없는데.
아 누가 봐요 아무도 없는데.,야. 잘 밤에 그게 또 넘어가냐?
야. 잘 밤에 그게 또 넘어가냐?,어 선우형.
어 선우형.,어.
어.,둘이 뭐 해?
둘이 뭐 해?,아니 뭐 누나한테 할 얘기가 있어서.
아니 뭐 누나한테 할 얘기가 있어서.,이 시간에? 둘이서? 무슨 얘기? 집에서 하면 되잖아.
이 시간에? 둘이서? 무슨 얘기? 집에서 하면 되잖아.,아 별 얘기 아니야. 공부하다가 궁금한게 생겨서 길 가다가 누나를 만나서.
아 별 얘기 아니야. 공부하다가 궁금한게 생겨서 길 가다가 누나를 만나서.,야 안꺼져? 우리가 뭘 하든 니가 뭔 상관이야. 어른 일에 상관하지 말고 꺼지시지.
야 안꺼져? 우리가 뭘 하든 니가 뭔 상관이야. 어른 일에 상관하지 말고 꺼지시지.,어. 알았어.
어. 알았어.,저기 보라야. 혹시 동전 있어? 어 고마워.
아 이거 통장에 1억 있는 분한테 커피는 약한데,코피 터지기 싫으면 닥치고 커피나 마셔 다들 얼른 하나씩 골라
코피 터지기 싫으면 닥치고 커피나 마셔 다들 얼른 하나씩 골라,김대리 카페모카 수민씨는 아메리카노 마신댔고 나는 녹차라떼
김대리 카페모카 수민씨는 아메리카노 마신댔고 나는 녹차라떼,저는 모과차요 찬바람이 싸늘하니 아주 뜨끈한 전통차가 땡기네요
저는 모과차요 찬바람이 싸늘하니 아주 뜨끈한 전통차가 땡기네요,이자식 너 혹시 밀양 스씨 아니냐
이자식 너 혹시 밀양 스씨 아니냐,정과장 뭐해 얼른 하나 골라
정과장 뭐해 얼른 하나 골라,아 제일 비싼게 만원이 안넘냐 어 이거 초코케잌 이거 얼마에요?
아 제일 비싼게 만원이 안넘냐 어 이거 초코케잌 이거 얼마에요?,이만원입니다
이만원입니다,아 이게 가격이 딱 적당하네 전 이걸로 할게요
아 이게 가격이 딱 적당하네 전 이걸로 할게요,양아치니? 음료수나 마셔 웬 케잌
양아치니? 음료수나 마셔 웬 케잌,아 개인당 하나씩 고르라면서요 그러니까 제 얼굴에 보톡스 한 방 놔줬으면 이런 일 없을거 아니에요
아 개인당 하나씩 고르라면서요 그러니까 제 얼굴에 보톡스 한 방 놔줬으면 이런 일 없을거 아니에요,얼굴에 주먹을 한방 놔주고 싶네 진짜
얼굴에 주먹을 한방 놔주고 싶네 진짜,어 이게 누군가 윤차장 아니야?
어 이게 누군가 윤차장 아니야?,박사장님 여기서 뵙네요
박사장님 여기서 뵙네요,일전에 분점 낼때 도와줘서 고마워 일정 빡빡했을 텐데 윤차장 덕분에 내가 면을 세웠지 뭔가
일전에 분점 낼때 도와줘서 고마워 일정 빡빡했을 텐데 윤차장 덕분에 내가 면을 세웠지 뭔가,아유 별 말씀을요
아유 별 말씀을요,이럴게 아니라 내가 커피라도 사야겠네 이걸로 계산해주세요
또 이렇게한다 또 그냥 훌훌 털고 집구석에 들어가라니까 거 형이랑 조금 싸웠다고 집나오고그렇게 하면 안돼 그러다가  버른된다 버릇 ,됐거든
됐거든,되긴 뭐가 되노 그리고 너 공부하던거도 계속해라 지금까지 한게 아깝잖아 니 지금 시험보면 내보다 점수 잘 나올껄 
되긴 뭐가 되노 그리고 너 공부하던거도 계속해라 지금까지 한게 아깝잖아 니 지금 시험보면 내보다 점수 잘 나올껄 ,좋겠다 넌 마음정리가 방정리보다 쉽게 되서 
좋겠다 넌 마음정리가 방정리보다 쉽게 되서 ,원래 실연의 후유증은 사랑의 크기에 비례하는 법이니까
원래 실연의 후유증은 사랑의 크기에 비례하는 법이니까,이런 삼차방정식같은 새끼들 뭐가 이리 복잡하노 그냥 훌훌 털라니까
이런 삼차방정식같은 새끼들 뭐가 이리 복잡하노 그냥 훌훌 털라니까,너 내가 어제한말 진공명 좋아한다고한거 말한거 아니지 공명이한테
너 내가 어제한말 진공명 좋아한다고한거 말한거 아니지 공명이한테,내가 얼라가 그런말을 전하게
내가 얼라가 그런말을 전하게,그럼 부담스러워서 날 피한거는 아닐테고 오늘하루동안 연락 안되서 그러는데 너 걔 어디있는지 아니 
그럼 부담스러워서 날 피한거는 아닐테고 오늘하루동안 연락 안되서 그러는데 너 걔 어디있는지 아니 ,뭐?
뭐?,바꿔줄게 통화해라 받아라 니 사부
오피스텔 얻어나간대서 걱정 않고 있었더니,작은 집으로 들어가면 안돼요?
작은 집으로 들어가면 안돼요?,안돼 작은 아버지한테 쫓겨났어
안돼 작은 아버지한테 쫓겨났어,네? 왜요?
네? 왜요?,기껏 유학보내놨더니 성인웹툰 그린다고 이제 겨우 웹툰 작가로 자리잡아서 돈 좀 버나했더니 그 돈을 날리고 아 진짜 내가 속상해서 내가 아 영자씨 타
기껏 유학보내놨더니 성인웹툰 그린다고 이제 겨우 웹툰 작가로 자리잡아서 돈 좀 버나했더니 그 돈을 날리고 아 진짜 내가 속상해서 내가 아 영자씨 타,형! 차에 약 두고 내렸어
형! 차에 약 두고 내렸어,너 약 꼬박꼬박 잘 챙겨먹어
너 약 꼬박꼬박 잘 챙겨먹어,알았어 잘가 가세요
알았어 잘가 가세요,저기요
저기요,네? 저요?
네? 저요?,팔도 다쳤는데 당분간 저희 집에서 지내심 어때요?
팔도 다쳤는데 당분간 저희 집에서 지내심 어때요?,영자씨? 진짜? 그래도 돼?
영자씨? 진짜? 그래도 돼?,저팔로 저런데서 혼자 어떻게 지내요
저팔로 저런데서 혼자 어떻게 지내요,저런데라뇨 괜찮아요
저런데라뇨 괜찮아요,괜찮기는 그래도 영자씨가 많이 불편할 텐데
괜찮기는 그래도 영자씨가 많이 불편할 텐데,이렇게 그냥 가면 마음이 편하겠어요? 팔 다 나을때까지만이라도 같이 있어요
이렇게 그냥 가면 마음이 편하겠어요? 팔 다 나을때까지만이라도 같이 있어요,영자씨 와 역시 우리 영자씨는 마음도 소름끼치게 넓어 야 빨랑 가서 컴퓨터랑 갖고 내려와
영자씨 와 역시 우리 영자씨는 마음도 소름끼치게 넓어 야 빨랑 가서 컴퓨터랑 갖고 내려와,됐어 내가 거길 왜가
됐어 내가 거길 왜가,되긴 뭐가 돼 괜한 자존심 세우지 말고 오랄때 빨랑 와 뭐해 빨랑
되긴 뭐가 돼 괜한 자존심 세우지 말고 오랄때 빨랑 와 뭐해 빨랑,아우 진짜 내가 불편해서 그래 내가
근데 이건 뭐야?,"아, 엄마 아빠가 나 시집가면 주려고 사 놓은 그릇이래요. 아, 근데 뭐가 이렇게 촌스럽냐."
"아, 엄마 아빠가 나 시집가면 주려고 사 놓은 그릇이래요. 아, 근데 뭐가 이렇게 촌스럽냐.","왜, 이쁘기만 한데. 어?"
"왜, 이쁘기만 한데. 어?","중국 여행갔을때 샀다더니, 기념으로 만들어놓고 잊어버리셨었나보네."
"중국 여행갔을때 샀다더니, 기념으로 만들어놓고 잊어버리셨었나보네.","와, 이때 두 분 소름끼치게 젊으셨다, 그치?"
"와, 이때 두 분 소름끼치게 젊으셨다, 그치?",그러게요.
이게 왜 이러지,뭐야 번호 몰라?
뭐야 번호 몰라?,아니
뭔소리에요? 안먹는다구요?,"아이, 나도 작업실. 잠시만. 어 그래"
"아이, 나도 작업실. 잠시만. 어 그래",작가님 호빵 사오신다더니 왜 안오십니까?
작가님 호빵 사오신다더니 왜 안오십니까?,"내가 갑자기, 중요한 사람을 만나서, 점심 먹고 들어갈 거 같아. 기다리지마라"
"내가 갑자기, 중요한 사람을 만나서, 점심 먹고 들어갈 거 같아. 기다리지마라",중요한 사람? 누구지?
선우야 보라누나랑은 잘 되가?,응. 좋아. 근데 택아. 
응. 좋아. 근데 택아. ,응?
응?,너는 왜 덕선이야? 아니 너 좋다는 사람들 많은데 왜 덕선이냐? 이유가 뭔데? 왜 좋은데?
너는 왜 덕선이야? 아니 너 좋다는 사람들 많은데 왜 덕선이냐? 이유가 뭔데? 왜 좋은데?,그냥 좋아. 같이있으면 그냥 좋아. 없으면 죽을수도 있을거같애.
그냥 좋아. 같이있으면 그냥 좋아. 없으면 죽을수도 있을거같애.,야! 아 이새끼 완전 미쳤구만? 정신차려 최택! 너 약먹어야겠다. 너 요즘 약 조금먹더라 어? 약먹어 약.
야! 아 이새끼 완전 미쳤구만? 정신차려 최택! 너 약먹어야겠다. 너 요즘 약 조금먹더라 어? 약먹어 약.,같이먹자.
같이먹자.,내가. 내가 약을 왜먹냐?
하나씨 뭐합니까 누구랑 통화중이였어요 말투보니까 꽤 친한 사람같은데,친한건 맞는데 사람은 아니여서
친한건 맞는데 사람은 아니여서,사람은 아니라뇨
사람은 아니라뇨,휴대폰 음성인식 서비스랑 이야기했거든요
휴대폰 음성인식 서비스랑 이야기했거든요,음성인식 서비스요?
음성인식 서비스요?,아휴 혼자 살다보니 이렇게 힘들고 답답할때 말할떄는 없고 그래서 한번 시작해본건데 혼잣말 하는것보다는 훨씬 위로가 되더라고요 오늘은 이만 끝내야겠다 안녕 왜요 저 이상해 보여요?
아휴 혼자 살다보니 이렇게 힘들고 답답할때 말할떄는 없고 그래서 한번 시작해본건데 혼잣말 하는것보다는 훨씬 위로가 되더라고요 오늘은 이만 끝내야겠다 안녕 왜요 저 이상해 보여요?,아니요 안쓰러워 보입니다 얼마나 말하고 기댈떄가 없으면 그랬을까 싶어서요 그런데 이제 그럴 필요없잖아요 좋은일이던 힘든일이던 나한테 말하고 의지하면 되니까 말해봐요 지금은 무슨 이야기 하고있었는지
아니 큰사장님 입덧 한다고 안 그랬어요?,이미 다 가라 앉았어요 
이미 다 가라 앉았어요 ,이제 다 가라 앉으셨데요 
이제 다 가라 앉으셨데요 ,그동안 못 먹었으니까 많이 먹어야지 우리 꿀벌이까지 2인분인데 영자씨 많이 먹어
그동안 못 먹었으니까 많이 먹어야지 우리 꿀벌이까지 2인분인데 영자씨 많이 먹어,어유
어유,어머 어머 어머 어머 어머  여기가 낙원사였어?
어머 어머 어머 어머 어머  여기가 낙원사였어?,라부장
라부장,아니 여기 어떻게 알고 오셨어요?
아니 여기 어떻게 알고 오셨어요?,다들 찔리긴 한가보지? 나보고 놀래는거 보니까? 
다들 찔리긴 한가보지? 나보고 놀래는거 보니까? ,아이 그게 아니라      
아이 그게 아니라      ,제가 연락 드렸어요 언제까지 비밀로 할 것도 아니고 
제가 연락 드렸어요 언제까지 비밀로 할 것도 아니고 ,그래 나만 쏙 빼놓고 낙원사 차린거 괘씸해서 안 올려다가 옛정을 생각해서 왔어 이건 집들이 선물 넣어둬 넣어둬
그래 나만 쏙 빼놓고 낙원사 차린거 괘씸해서 안 올려다가 옛정을 생각해서 왔어 이건 집들이 선물 넣어둬 넣어둬,감사합니다
감사합니다,아유 라부장 왠일이야? 상이라도 엎을줄 알았는데? 
아유 라부장 왠일이야? 상이라도 엎을줄 알았는데? ,그러게요 아 그 뒤에 똥바가지라도 숨겨 갖고 온거 아니예요? 갑자기 확 부어버릴라고?
그러게요 아 그 뒤에 똥바가지라도 숨겨 갖고 온거 아니예요? 갑자기 확 부어버릴라고?,어유 생각하는 거 하고는 아 나도 나이들어 그런가 이제 승질낼 힘도 없거든? 아니 근데 진짜 신기하다 나 여기 배달왔던 집인데
어유 생각하는 거 하고는 아 나도 나이들어 그런가 이제 승질낼 힘도 없거든? 아니 근데 진짜 신기하다 나 여기 배달왔던 집인데,어 진짜?
어 진짜?,그래요?
그래요?,네 어우 맛있겠다 
정신이 들어요?,진교수님? 여긴 어쩐일로. 진교수님.
임신하면 혈액순환 안 돼서 다리 붓는다더니 우리 영자씨 다리부은 것 좀 봐,원래 제 다린데
원래 제 다린데,"아니야 영자씨 상체에 비해서 다리는 날씬, 아니 아니 상체가 뚱뚱하다는게 아니고 내 말은 영자씨 다리가 워낙 소름끼치게 예뻐서 그런 뜻으로다가"
"아니야 영자씨 상체에 비해서 다리는 날씬, 아니 아니 상체가 뚱뚱하다는게 아니고 내 말은 영자씨 다리가 워낙 소름끼치게 예뻐서 그런 뜻으로다가",됐거든요
됐거든요,어 드라마 끝났네 영자씨 다른데 틀어줄까?
어 드라마 끝났네 영자씨 다른데 틀어줄까?,네
네,이거 볼래? 아니면 이거?
이거 볼래? 아니면 이거?,어 그거요 아
어 그거요 아,영자씨 여깄어
영자씨 여깄어,아유 참 이렇게까지 안해줘도 돼요 아직 배가 막 부른것도 아니고 그리고 사장님도 오늘 하루종일 거래처 돌아다니느라 힘들었을거 아니에요
아유 참 이렇게까지 안해줘도 돼요 아직 배가 막 부른것도 아니고 그리고 사장님도 오늘 하루종일 거래처 돌아다니느라 힘들었을거 아니에요,아니야 여자들 임신했을때 남편이 서운하게 하면 평생간다며 평생 원망 듣기 싫음 지금 소름끼치게 잘해야지 어때 시원하지?
아니야 여자들 임신했을때 남편이 서운하게 하면 평생간다며 평생 원망 듣기 싫음 지금 소름끼치게 잘해야지 어때 시원하지?,네 아 간지러
네 아 간지러,간지러? 가만 있어 내가 긁어줄게 여기 여기?
잠시만요,누나 점심 중국집에서 시킬건데 뭐 드실래요? 짜장? 짬뽕?
누나 점심 중국집에서 시킬건데 뭐 드실래요? 짜장? 짬뽕?,회사야?
회사야?,네. 제가 없으면 업무가 안되서
아저씨 택이 졌어요?,"아, 아니야. 이겼어."
"아, 아니야. 이겼어.",에? 근데 쟤 표정이 왜 저래요? 사람 헷갈리게.
에? 근데 쟤 표정이 왜 저래요? 사람 헷갈리게.,바둑 에티켓.
바둑 에티켓.,에?
에?,"아 이겨도 겸손해야되고, 져도 예의를 지키는거. 그게 바둑 에티켓이야."
우리도 우리 꿀벌이 키워놓고 나면 무지 늙어있겠지? 우리 꿀벌이만 크고 우린 안 늙었으면 좋겠다. 그치 영자씨?,장 본건 어디 뒀어요?
장 본건 어디 뒀어요?,"어, 여기. 내가 오늘 맛있는거 해줄께."
"방금, 라부장님 봤어요? 라부장님 립스틱 바르는 거!",모임 간대잖아.
모임 간대잖아.,"그게 아니라, 맨날 붓으로 땅굴파듯 파 쓰던 사람이 새 거를 몇 번이나 다시 발랐잖아요!"
"그게 아니라, 맨날 붓으로 땅굴파듯 파 쓰던 사람이 새 거를 몇 번이나 다시 발랐잖아요!",어디서 공짜로 립스틱 하나 생기셨나보죠.
어디서 공짜로 립스틱 하나 생기셨나보죠.,"야 인마, 공짜로 생겼다고 펑펑 쓸 사람이냐? 어라? 그러고보니까, 단무지랑 양파랑 이렇게 많이 남았는데 왜 안 싸갔지?"
"야 인마, 공짜로 생겼다고 펑펑 쓸 사람이냐? 어라? 그러고보니까, 단무지랑 양파랑 이렇게 많이 남았는데 왜 안 싸갔지?",예? 원래 싸가셨어요?
예? 원래 싸가셨어요?,"그럼! 남은 단무지로 김밥 싸고, 남은 양파로 된장찌개 끓이고, 춘장으로는 애들 짜장떡볶이 해주면서 삼시세끼를 때우던 여잔데! 이상하다. 아, 이상해. 아 왜 이렇게 사치스러워졌지?"
"그럼! 남은 단무지로 김밥 싸고, 남은 양파로 된장찌개 끓이고, 춘장으로는 애들 짜장떡볶이 해주면서 삼시세끼를 때우던 여잔데! 이상하다. 아, 이상해. 아 왜 이렇게 사치스러워졌지?","야 인마, 단무지 안 싸가는게 사치냐?"
"야 인마, 단무지 안 싸가는게 사치냐?","아니라니까요, 진짜. 이 토시도 봐요, 옛날에 토시 한 번 잃어버리면 애 잃어버린 것처럼 울고 불고 찾고 난리가 났을텐데, 너무 태연하잖아요."
"아니라니까요, 진짜. 이 토시도 봐요, 옛날에 토시 한 번 잃어버리면 애 잃어버린 것처럼 울고 불고 찾고 난리가 났을텐데, 너무 태연하잖아요.","그만해, 인마. 너 아까 라부장이 저 잡채밥 먹었다고 뭐라고 해서 꼬장부리는거지?"
"그만해, 인마. 너 아까 라부장이 저 잡채밥 먹었다고 뭐라고 해서 꼬장부리는거지?","아니래니까요, 뭔가 이상하대니까, 진짜. 어, 이거 봐봐요, 이 립스틱도 회사 휴지가 아니라 자기 휴지로 지웠잖아요."
"아니래니까요, 뭔가 이상하대니까, 진짜. 어, 이거 봐봐요, 이 립스틱도 회사 휴지가 아니라 자기 휴지로 지웠잖아요.",정과장님도 드럽게. 그러다가 라부장님 똥 닦은 휴지까지 트집잡으시겠다규.
정과장님도 드럽게. 그러다가 라부장님 똥 닦은 휴지까지 트집잡으시겠다규.,"아유, 김대리님도 참."
"아유, 김대리님도 참.","아, 트집잡는거 아니라니까. 라부장님, 분명 뭔가 있어."
야 너 어떻게 된거야,여기 우리집 아니야
여기 우리집 아니야,야 뭐 임대사기?
야 뭐 임대사기?,뭐 어쩌다 그렇게 됐어 빨리가
뭐 어쩌다 그렇게 됐어 빨리가,자세히 좀 말해봐 그래야 아는 변호사한테 부탁해서 도와달라든지 할거 아냐
자세히 좀 말해봐 그래야 아는 변호사한테 부탁해서 도와달라든지 할거 아냐,나도 다 알아봤어 근데 그게 워낙 조직적인 놈들한테 걸린거라 찾기 힘들대 변호사랑 판사도 다 당한 아주 치밀한
나도 다 알아봤어 근데 그게 워낙 조직적인 놈들한테 걸린거라 찾기 힘들대 변호사랑 판사도 다 당한 아주 치밀한,그래도 그렇지 어떻게 한두푼도 아니고 이천을
그래도 그렇지 어떻게 한두푼도 아니고 이천을,조용히 좀 합시다 조용히
조용히 좀 합시다 조용히,그쪽이나 조용히해요
뭐야 한그릇 남네?,응? 아니 애 둘에 어른 다섯 사람수대로
응? 아니 애 둘에 어른 다섯 사람수대로,할머니 어른 네명인데요 이제 이모 없잖아요
할머니 어른 네명인데요 이제 이모 없잖아요,아유 맞다 아유 할미가 깜빡했네 벌써 며칠이나 지났는데 할머니가 깜빡깜빡한다
아유 맞다 아유 할미가 깜빡했네 벌써 며칠이나 지났는데 할머니가 깜빡깜빡한다,원래 빈자리는 몰라도 난자리는 표가 나는 법이잖아
원래 빈자리는 몰라도 난자리는 표가 나는 법이잖아,맞아요 그리고 처형이 표 안나기 힘든 덩치잖아요
맞아요 그리고 처형이 표 안나기 힘든 덩치잖아요,그렇지 완전 힘들지
그렇지 완전 힘들지,근데 영애는 잘 지내나? 요즘엔 전화 한통도 없어
근데 영애는 잘 지내나? 요즘엔 전화 한통도 없어,바빠서 그렇죠 뭐 며칠전에 직원들 집들이하고 회사며 집이며 이제 막 셋팅 끝냈어요
바빠서 그렇죠 뭐 며칠전에 직원들 집들이하고 회사며 집이며 이제 막 셋팅 끝냈어요,아니 홀몸도 아닌데 힘들게 거 주말엔 집에 와서 좀 쉬라 그래
아니 홀몸도 아닌데 힘들게 거 주말엔 집에 와서 좀 쉬라 그래,어이그 참 40년동안 끼고 살았으면 됐지 늙은 딸년 보내놓고 유난은 아 쉬러 뭘 여길 와 지집이 더 좋더구만
어이그 참 40년동안 끼고 살았으면 됐지 늙은 딸년 보내놓고 유난은 아 쉬러 뭘 여길 와 지집이 더 좋더구만,사람 참 나간지 얼마 되지도 않았는데 아직은 여기가 더 편할거 아니야
다들 수고 많았는데 복분자 마시고 기력 보충좀 하라고 건배,진짜 기력이 보충되는것 같습니다 힘이 불끈불끈 솟는게
진짜 기력이 보충되는것 같습니다 힘이 불끈불끈 솟는게,불끈불끈은 무슨 남자가 힘아리가 하나 없어서 아주 산송장 같더만요 아까보니까
불끈불끈은 무슨 남자가 힘아리가 하나 없어서 아주 산송장 같더만요 아까보니까,뭐라는거야 그걸 지금 말이라고 하는거야?
뭐라는거야 그걸 지금 말이라고 하는거야?,닥치고 술이나 드세요
닥치고 술이나 드세요,불허한다 내 입이다 내가 내입으로 떠들겠다는데 어디서 참견이냐 무엄하다 
불허한다 내 입이다 내가 내입으로 떠들겠다는데 어디서 참견이냐 무엄하다 ,이게 정말 꿈인가 생신가 싶어 진교수 대체 무슨 심경의 변화가 불었길래 요즘이렇게 안하던 짓을해 같이 점심도 먹고 등산도 같이가고 이렇게 회식에도 끼고 
이게 정말 꿈인가 생신가 싶어 진교수 대체 무슨 심경의 변화가 불었길래 요즘이렇게 안하던 짓을해 같이 점심도 먹고 등산도 같이가고 이렇게 회식에도 끼고 ,아 원장님이 맨날 친목도모 하자면서요 원장님 원대로 친목도모 차원입니다
아 원장님이 맨날 친목도모 하자면서요 원장님 원대로 친목도모 차원입니다,확실해요? 다른 이유가 있는거는 아니고?
확실해요? 다른 이유가 있는거는 아니고?,다른 이유라니요
다른 이유라니요,아 모르죠 술이나 드세여
